Month,ancient aliens: (United States)
2004-01,0
2004-02,2
2004-03,2
2004-04,0
2004-05,3
2004-06,0
2004-07,0
2004-08,0
2004-09,3
2004-10,2
2004-11,0
2004-12,1
2005-01,0
2005-02,0
2005-03,1
2005-04,4
2005-05,2
2005-06,0
2005-07,0
2005-08,1
2005-09,1
2005-10,0
2005-11,1
2005-12,0
2006-01,1
2006-02,1
2006-03,0
2006-04,0
2006-05,0
2006-06,1
2006-07,0
2006-08,0
2006-09,2
2006-10,1
2006-11,0
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,0
2007-09,0
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,2
2008-03,1
2008-04,1
2008-05,1
2008-06,2
2008-07,2
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,2
2009-03,12
2009-04,7
2009-05,5
2009-06,4
2009-07,8
2009-08,9
2009-09,5
2009-10,7
2009-11,10
2009-12,9
2010-01,6
2010-02,4
2010-03,7
2010-04,23
2010-05,44
2010-06,24
2010-07,19
2010-08,19
2010-09,23
2010-10,28
2010-11,48
2010-12,50
2011-01,73
2011-02,51
2011-03,49
2011-04,37
2011-05,36
2011-06,41
2011-07,60
2011-08,87
2011-09,100
2011-10,99
2011-11,87
2011-12,83
2012-01,84
2012-02,82
2012-03,84
2012-04,74
2012-05,73
2012-06,74
2012-07,49
2012-08,46
2012-09,51
2012-10,51
2012-11,48
2012-12,70
2013-01,60
2013-02,56
2013-03,42
2013-04,42
2013-05,35
2013-06,31
2013-07,30
2013-08,34
2013-09,32
2013-10,64
2013-11,58
2013-12,48
2014-01,44
2014-02,40
2014-03,41
2014-04,31
2014-05,30
2014-06,25
2014-07,34
2014-08,35
2014-09,29
2014-10,26
2014-11,34
2014-12,30
2015-01,36
2015-02,29
2015-03,30
2015-04,41
2015-05,34
2015-06,31
2015-07,36
2015-08,37
2015-09,37
2015-10,32
2015-11,26
2015-12,23
2016-01,23
2016-02,21
2016-03,24
2016-04,21
2016-05,33
2016-06,27
2016-07,39
2016-08,43
2016-09,38
2016-10,30
2016-11,24
2016-12,24
2017-01,22
2017-02,19
2017-03,19
2017-04,20
2017-05,24
2017-06,27
2017-07,28
2017-08,23
2017-09,23
2017-10,21
2017-11,20
2017-12,22
2018-01,20
2018-02,19
2018-03,21
2018-04,19
2018-05,19
2018-06,21
2018-07,22
2018-08,22
2018-09,20
2018-10,17
2018-11,18
2018-12,19
2019-01,24
2019-02,19
2019-03,16
2019-04,15
2019-05,17
2019-06,25
2019-07,22
2019-08,26
2019-09,22
2019-10,21
2019-11,19
2019-12,19
2020-01,20
2020-02,21
2020-03,19
2020-04,20
2020-05,19
2020-06,15
2020-07,16
2020-08,15
2020-09,19
2020-10,14
2020-11,15
2020-12,17
2021-01,15
2021-02,16
2021-03,14
2021-04,14
2021-05,14
2021-06,13
2021-07,12
2021-08,14
2021-09,12
2021-10,12
2021-11,11
2021-12,13
2022-01,18
2022-02,17
2022-03,15
2022-04,14
2022-05,14
2022-06,12
2022-07,15
2022-08,21
2022-09,16
2022-10,15
2022-11,15
2022-12,14
2023-01,16
2023-02,17
2023-03,12
2023-04,13
2023-05,11
2023-06,13
2023-07,17
2023-08,15
2023-09,17
2023-10,14
