Month,i sexually identify as an attack helicopter: (United States)
2009-11,16
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,19
2010-10,0
2010-11,0
2010-12,0
2011-01,6
2011-02,6
2011-03,8
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,6
2012-02,0
2012-03,0
2012-04,0
2012-05,13
2012-06,0
2012-07,7
2012-08,0
2012-09,0
2012-10,0
2012-11,4
2012-12,10
2013-01,0
2013-02,6
2013-03,0
2013-04,4
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,5
2013-12,4
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,4
2014-08,0
2014-09,8
2014-10,0
2014-11,7
2014-12,34
2015-01,51
2015-02,41
2015-03,69
2015-04,64
2015-05,52
2015-06,60
2015-07,87
2015-08,100
2015-09,79
2015-10,69
2015-11,65
2015-12,81
2016-01,53
2016-02,57
2016-03,51
2016-04,64
2016-05,75
2016-06,60
2016-07,45
2016-08,45
2016-09,50
2016-10,61
2016-11,40
2016-12,46
2017-01,38
2017-02,99
2017-03,66
2017-04,33
2017-05,42
2017-06,39
2017-07,33
2017-08,27
2017-09,25
2017-10,22
2017-11,19
2017-12,19
2018-01,17
2018-02,20
2018-03,11
2018-04,9
2018-05,18
2018-06,30
2018-07,5
2018-08,4
2018-09,13
2018-10,6
2018-11,4
2018-12,11
2019-01,8
2019-02,6
2019-03,10
2019-04,0
2019-05,6
2019-06,3
2019-07,6
2019-08,5
2019-09,5
2019-10,7
2019-11,10
2019-12,0
2020-01,34
2020-02,5
2020-03,9
2020-04,8
2020-05,7
2020-06,3
2020-07,7
2020-08,7
2020-09,5
2020-10,10
2020-11,8
2020-12,8
2021-01,9
2021-02,4
2021-03,8
2021-04,7
2021-05,3
2021-06,25
2021-07,24
2021-08,7
2021-09,5
2021-10,0
2021-11,0
2021-12,11
2022-01,0
2022-02,0
2022-03,11
2022-04,7
2022-05,4
2022-06,9
2022-07,0
2022-08,6
2022-09,2
2022-10,6
2022-11,7
2022-12,0
2023-01,4
2023-02,0
2023-03,0
2023-04,13
2023-05,7
2023-06,4
2023-07,3
2023-08,0
2023-09,0
2023-10,0
