Category: All categories

Month,177013: (United States)
2013-08,2
2013-09,1
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,1
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,2
2015-04,0
2015-05,0
2015-06,1
2015-07,1
2015-08,0
2015-09,0
2015-10,0
2015-11,1
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,1
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,2
2017-05,0
2017-06,0
2017-07,0
2017-08,1
2017-09,1
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,1
2018-03,0
2018-04,3
2018-05,2
2018-06,2
2018-07,22
2018-08,29
2018-09,15
2018-10,11
2018-11,6
2018-12,18
2019-01,20
2019-02,43
2019-03,26
2019-04,21
2019-05,36
2019-06,48
2019-07,56
2019-08,28
2019-09,27
2019-10,47
2019-11,38
2019-12,54
2020-01,43
2020-02,34
2020-03,49
2020-04,46
2020-05,47
2020-06,48
2020-07,64
2020-08,57
2020-09,96
2020-10,75
2020-11,78
2020-12,45
2021-01,45
2021-02,80
2021-03,100
2021-04,83
2021-05,74
2021-06,61
2021-07,60
2021-08,55
2021-09,38
2021-10,53
2021-11,47
2021-12,49
2022-01,28
2022-02,27
2022-03,22
2022-04,29
2022-05,21
2022-06,23
2022-07,32
2022-08,22
2022-09,20
2022-10,25
2022-11,16
2022-12,19
2023-01,15
2023-02,11
2023-03,12
2023-04,15
2023-05,12
2023-06,17
2023-07,60
