Category: All categories

Month,Moon Moon: (United States)
2013-08,51
2013-09,49
2013-10,47
2013-11,46
2013-12,44
2014-01,50
2014-02,46
2014-03,50
2014-04,79
2014-05,49
2014-06,53
2014-07,55
2014-08,52
2014-09,50
2014-10,58
2014-11,46
2014-12,45
2015-01,48
2015-02,47
2015-03,50
2015-04,55
2015-05,50
2015-06,51
2015-07,60
2015-08,61
2015-09,100
2015-10,51
2015-11,45
2015-12,44
2016-01,46
2016-02,52
2016-03,49
2016-04,53
2016-05,59
2016-06,60
2016-07,56
2016-08,52
2016-09,62
2016-10,63
2016-11,95
2016-12,76
2017-01,64
2017-02,58
2017-03,55
2017-04,56
2017-05,51
2017-06,55
2017-07,54
2017-08,57
2017-09,52
2017-10,59
2017-11,59
2017-12,58
2018-01,77
2018-02,54
2018-03,54
2018-04,54
2018-05,52
2018-06,54
2018-07,63
2018-08,53
2018-09,53
2018-10,56
2018-11,48
2018-12,51
2019-01,79
2019-02,53
2019-03,53
2019-04,53
2019-05,53
2019-06,53
2019-07,65
2019-08,54
2019-09,59
2019-10,57
2019-11,53
2019-12,51
2020-01,52
2020-02,58
2020-03,50
2020-04,61
2020-05,63
2020-06,55
2020-07,57
2020-08,59
2020-09,61
2020-10,65
2020-11,57
2020-12,58
2021-01,56
2021-02,59
2021-03,61
2021-04,73
2021-05,67
2021-06,60
2021-07,62
2021-08,59
2021-09,60
2021-10,59
2021-11,60
2021-12,55
2022-01,76
2022-02,69
2022-03,70
2022-04,87
2022-05,83
2022-06,64
2022-07,67
2022-08,64
2022-09,64
2022-10,64
2022-11,64
2022-12,61
2023-01,65
2023-02,68
2023-03,81
2023-04,69
2023-05,63
2023-06,64
2023-07,94
