Category: All categories

Month,You Don’t Say: (United States)
2013-08,19
2013-09,17
2013-10,19
2013-11,11
2013-12,17
2014-01,19
2014-02,14
2014-03,17
2014-04,12
2014-05,16
2014-06,18
2014-07,10
2014-08,15
2014-09,17
2014-10,13
2014-11,13
2014-12,5
2015-01,21
2015-02,13
2015-03,12
2015-04,12
2015-05,12
2015-06,9
2015-07,13
2015-08,3
2015-09,7
2015-10,8
2015-11,9
2015-12,7
2016-01,27
2016-02,28
2016-03,16
2016-04,24
2016-05,18
2016-06,15
2016-07,20
2016-08,20
2016-09,16
2016-10,18
2016-11,13
2016-12,18
2017-01,22
2017-02,29
2017-03,21
2017-04,23
2017-05,29
2017-06,19
2017-07,11
2017-08,15
2017-09,25
2017-10,38
2017-11,38
2017-12,42
2018-01,34
2018-02,43
2018-03,60
2018-04,46
2018-05,51
2018-06,35
2018-07,43
2018-08,38
2018-09,52
2018-10,48
2018-11,48
2018-12,50
2019-01,45
2019-02,57
2019-03,61
2019-04,63
2019-05,56
2019-06,58
2019-07,43
2019-08,53
2019-09,53
2019-10,63
2019-11,55
2019-12,52
2020-01,58
2020-02,57
2020-03,57
2020-04,67
2020-05,73
2020-06,51
2020-07,44
2020-08,43
2020-09,61
2020-10,62
2020-11,52
2020-12,54
2021-01,66
2021-02,66
2021-03,52
2021-04,52
2021-05,55
2021-06,44
2021-07,39
2021-08,31
2021-09,41
2021-10,51
2021-11,56
2021-12,53
2022-01,55
2022-02,65
2022-03,75
2022-04,82
2022-05,82
2022-06,64
2022-07,48
2022-08,55
2022-09,77
2022-10,75
2022-11,81
2022-12,67
2023-01,80
2023-02,92
2023-03,100
2023-04,82
2023-05,89
2023-06,61
2023-07,0
