Month,pepe the frog: (United States)
2009-11,0
2009-12,0
2010-01,<1
2010-02,0
2010-03,0
2010-04,<1
2010-05,0
2010-06,0
2010-07,1
2010-08,0
2010-09,<1
2010-10,0
2010-11,0
2010-12,<1
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,<1
2011-07,<1
2011-08,0
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,<1
2012-08,0
2012-09,<1
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,<1
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,<1
2014-02,0
2014-03,0
2014-04,<1
2014-05,<1
2014-06,0
2014-07,<1
2014-08,<1
2014-09,<1
2014-10,<1
2014-11,1
2014-12,2
2015-01,2
2015-02,4
2015-03,5
2015-04,19
2015-05,34
2015-06,29
2015-07,33
2015-08,37
2015-09,41
2015-10,40
2015-11,41
2015-12,39
2016-01,29
2016-02,28
2016-03,25
2016-04,27
2016-05,29
2016-06,19
2016-07,16
2016-08,18
2016-09,100
2016-10,57
2016-11,35
2016-12,22
2017-01,35
2017-02,25
2017-03,20
2017-04,22
2017-05,27
2017-06,16
2017-07,13
2017-08,19
2017-09,19
2017-10,18
2017-11,16
2017-12,15
2018-01,14
2018-02,15
2018-03,15
2018-04,12
2018-05,12
2018-06,9
2018-07,9
2018-08,9
2018-09,12
2018-10,13
2018-11,11
2018-12,10
2019-01,10
2019-02,12
2019-03,10
2019-04,11
2019-05,11
2019-06,8
2019-07,6
2019-08,9
2019-09,9
2019-10,10
2019-11,9
2019-12,8
2020-01,7
2020-02,7
2020-03,5
2020-04,5
2020-05,6
2020-06,6
2020-07,6
2020-08,5
2020-09,9
2020-10,7
2020-11,5
2020-12,5
2021-01,7
2021-02,7
2021-03,5
2021-04,4
2021-05,4
2021-06,4
2021-07,4
2021-08,4
2021-09,4
2021-10,4
2021-11,4
2021-12,3
2022-01,4
2022-02,4
2022-03,4
2022-04,5
2022-05,5
2022-06,4
2022-07,4
2022-08,4
2022-09,6
2022-10,5
2022-11,5
2022-12,5
2023-01,4
2023-02,4
2023-03,4
2023-04,4
2023-05,5
2023-06,4
2023-07,3
2023-08,3
2023-09,4
2023-10,4
