Category: All categories

Month,Bad Luck Brian: (United States)
2013-08,70
2013-09,65
2013-10,64
2013-11,51
2013-12,70
2014-01,59
2014-02,45
2014-03,51
2014-04,55
2014-05,48
2014-06,50
2014-07,43
2014-08,28
2014-09,32
2014-10,38
2014-11,36
2014-12,33
2015-01,43
2015-02,38
2015-03,42
2015-04,38
2015-05,34
2015-06,28
2015-07,26
2015-08,26
2015-09,32
2015-10,33
2015-11,35
2015-12,35
2016-01,31
2016-02,26
2016-03,25
2016-04,27
2016-05,25
2016-06,20
2016-07,20
2016-08,16
2016-09,23
2016-10,25
2016-11,22
2016-12,22
2017-01,19
2017-02,22
2017-03,19
2017-04,18
2017-05,19
2017-06,17
2017-07,11
2017-08,15
2017-09,13
2017-10,15
2017-11,15
2017-12,17
2018-01,15
2018-02,13
2018-03,13
2018-04,17
2018-05,13
2018-06,9
2018-07,9
2018-08,10
2018-09,13
2018-10,100
2018-11,17
2018-12,14
2019-01,12
2019-02,12
2019-03,12
2019-04,12
2019-05,13
2019-06,10
2019-07,8
2019-08,10
2019-09,11
2019-10,9
2019-11,9
2019-12,10
2020-01,9
2020-02,8
2020-03,10
2020-04,7
2020-05,6
2020-06,6
2020-07,5
2020-08,4
2020-09,5
2020-10,8
2020-11,9
2020-12,10
2021-01,8
2021-02,6
2021-03,7
2021-04,11
2021-05,7
2021-06,4
2021-07,4
2021-08,5
2021-09,4
2021-10,4
2021-11,5
2021-12,6
2022-01,5
2022-02,4
2022-03,4
2022-04,5
2022-05,4
2022-06,4
2022-07,5
2022-08,4
2022-09,5
2022-10,4
2022-11,4
2022-12,3
2023-01,4
2023-02,3
2023-03,4
2023-04,11
2023-05,11
2023-06,9
2023-07,15
