Category: All categories

Month,Do You Even Lift: (United States)
2013-08,100
2013-09,83
2013-10,75
2013-11,75
2013-12,72
2014-01,71
2014-02,89
2014-03,91
2014-04,85
2014-05,70
2014-06,81
2014-07,73
2014-08,55
2014-09,50
2014-10,49
2014-11,52
2014-12,49
2015-01,45
2015-02,40
2015-03,40
2015-04,44
2015-05,37
2015-06,38
2015-07,36
2015-08,40
2015-09,36
2015-10,32
2015-11,31
2015-12,32
2016-01,27
2016-02,30
2016-03,27
2016-04,22
2016-05,25
2016-06,25
2016-07,25
2016-08,16
2016-09,22
2016-10,17
2016-11,16
2016-12,21
2017-01,15
2017-02,19
2017-03,20
2017-04,17
2017-05,19
2017-06,19
2017-07,10
2017-08,16
2017-09,10
2017-10,15
2017-11,20
2017-12,13
2018-01,10
2018-02,15
2018-03,16
2018-04,13
2018-05,12
2018-06,8
2018-07,14
2018-08,12
2018-09,8
2018-10,5
2018-11,9
2018-12,10
2019-01,10
2019-02,12
2019-03,6
2019-04,9
2019-05,9
2019-06,11
2019-07,11
2019-08,8
2019-09,10
2019-10,8
2019-11,9
2019-12,11
2020-01,11
2020-02,9
2020-03,8
2020-04,8
2020-05,8
2020-06,6
2020-07,8
2020-08,7
2020-09,8
2020-10,4
2020-11,2
2020-12,7
2021-01,5
2021-02,7
2021-03,6
2021-04,6
2021-05,7
2021-06,5
2021-07,5
2021-08,5
2021-09,5
2021-10,6
2021-11,6
2021-12,4
2022-01,7
2022-02,8
2022-03,6
2022-04,6
2022-05,5
2022-06,5
2022-07,7
2022-08,5
2022-09,5
2022-10,5
2022-11,6
2022-12,8
2023-01,6
2023-02,7
2023-03,7
2023-04,6
2023-05,6
2023-06,6
2023-07,0
