Category: All categories

Month,Facepalm: (United States)
2013-08,84
2013-09,83
2013-10,83
2013-11,80
2013-12,73
2014-01,79
2014-02,76
2014-03,78
2014-04,82
2014-05,86
2014-06,95
2014-07,100
2014-08,82
2014-09,84
2014-10,82
2014-11,77
2014-12,75
2015-01,78
2015-02,77
2015-03,80
2015-04,80
2015-05,74
2015-06,82
2015-07,82
2015-08,76
2015-09,76
2015-10,74
2015-11,66
2015-12,69
2016-01,52
2016-02,61
2016-03,59
2016-04,54
2016-05,58
2016-06,63
2016-07,54
2016-08,55
2016-09,56
2016-10,51
2016-11,63
2016-12,54
2017-01,62
2017-02,56
2017-03,53
2017-04,49
2017-05,52
2017-06,49
2017-07,47
2017-08,51
2017-09,54
2017-10,49
2017-11,49
2017-12,42
2018-01,41
2018-02,43
2018-03,45
2018-04,42
2018-05,43
2018-06,40
2018-07,41
2018-08,41
2018-09,43
2018-10,39
2018-11,40
2018-12,37
2019-01,39
2019-02,38
2019-03,35
2019-04,37
2019-05,42
2019-06,39
2019-07,34
2019-08,32
2019-09,35
2019-10,34
2019-11,31
2019-12,26
2020-01,32
2020-02,33
2020-03,53
2020-04,42
2020-05,36
2020-06,37
2020-07,33
2020-08,33
2020-09,36
2020-10,28
2020-11,22
2020-12,25
2021-01,23
2021-02,23
2021-03,24
2021-04,24
2021-05,20
2021-06,20
2021-07,19
2021-08,21
2021-09,20
2021-10,21
2021-11,26
2021-12,18
2022-01,24
2022-02,23
2022-03,21
2022-04,22
2022-05,21
2022-06,23
2022-07,23
2022-08,22
2022-09,19
2022-10,21
2022-11,19
2022-12,17
2023-01,18
2023-02,19
2023-03,21
2023-04,17
2023-05,21
2023-06,22
2023-07,4
