Category: All categories

Month,Good Guy Greg: (United States)
2013-08,100
2013-09,81
2013-10,80
2013-11,99
2013-12,91
2014-01,58
2014-02,91
2014-03,81
2014-04,62
2014-05,61
2014-06,45
2014-07,46
2014-08,58
2014-09,48
2014-10,39
2014-11,50
2014-12,40
2015-01,36
2015-02,41
2015-03,42
2015-04,43
2015-05,36
2015-06,44
2015-07,26
2015-08,33
2015-09,30
2015-10,26
2015-11,29
2015-12,34
2016-01,33
2016-02,24
2016-03,26
2016-04,32
2016-05,20
2016-06,17
2016-07,26
2016-08,16
2016-09,21
2016-10,23
2016-11,22
2016-12,16
2017-01,17
2017-02,9
2017-03,19
2017-04,19
2017-05,14
2017-06,17
2017-07,4
2017-08,12
2017-09,13
2017-10,14
2017-11,13
2017-12,15
2018-01,10
2018-02,8
2018-03,12
2018-04,19
2018-05,27
2018-06,16
2018-07,11
2018-08,14
2018-09,9
2018-10,18
2018-11,11
2018-12,10
2019-01,8
2019-02,10
2019-03,9
2019-04,8
2019-05,7
2019-06,7
2019-07,8
2019-08,10
2019-09,8
2019-10,6
2019-11,6
2019-12,14
2020-01,6
2020-02,10
2020-03,10
2020-04,6
2020-05,7
2020-06,5
2020-07,7
2020-08,5
2020-09,7
2020-10,6
2020-11,2
2020-12,9
2021-01,5
2021-02,2
2021-03,5
2021-04,4
2021-05,7
2021-06,5
2021-07,3
2021-08,5
2021-09,9
2021-10,3
2021-11,4
2021-12,3
2022-01,5
2022-02,6
2022-03,6
2022-04,7
2022-05,9
2022-06,10
2022-07,5
2022-08,12
2022-09,7
2022-10,7
2022-11,7
2022-12,4
2023-01,7
2023-02,4
2023-03,6
2023-04,4
2023-05,7
2023-06,3
2023-07,83
