Category: All categories

Month,Philosoraptor: (United States)
2013-08,94
2013-09,89
2013-10,100
2013-11,79
2013-12,75
2014-01,84
2014-02,71
2014-03,79
2014-04,66
2014-05,60
2014-06,55
2014-07,56
2014-08,55
2014-09,48
2014-10,70
2014-11,53
2014-12,67
2015-01,60
2015-02,68
2015-03,65
2015-04,68
2015-05,74
2015-06,93
2015-07,77
2015-08,67
2015-09,65
2015-10,73
2015-11,73
2015-12,46
2016-01,52
2016-02,48
2016-03,46
2016-04,59
2016-05,47
2016-06,31
2016-07,25
2016-08,33
2016-09,43
2016-10,39
2016-11,37
2016-12,32
2017-01,31
2017-02,33
2017-03,39
2017-04,37
2017-05,40
2017-06,27
2017-07,25
2017-08,27
2017-09,28
2017-10,31
2017-11,27
2017-12,30
2018-01,26
2018-02,23
2018-03,23
2018-04,23
2018-05,23
2018-06,22
2018-07,26
2018-08,19
2018-09,32
2018-10,23
2018-11,25
2018-12,12
2019-01,19
2019-02,20
2019-03,20
2019-04,14
2019-05,20
2019-06,17
2019-07,16
2019-08,16
2019-09,15
2019-10,13
2019-11,18
2019-12,14
2020-01,10
2020-02,15
2020-03,12
2020-04,7
2020-05,14
2020-06,15
2020-07,7
2020-08,10
2020-09,9
2020-10,7
2020-11,5
2020-12,8
2021-01,8
2021-02,11
2021-03,8
2021-04,8
2021-05,16
2021-06,8
2021-07,4
2021-08,7
2021-09,4
2021-10,6
2021-11,8
2021-12,9
2022-01,13
2022-02,5
2022-03,9
2022-04,10
2022-05,11
2022-06,10
2022-07,6
2022-08,12
2022-09,5
2022-10,7
2022-11,8
2022-12,7
2023-01,8
2023-02,8
2023-03,11
2023-04,8
2023-05,5
2023-06,5
2023-07,0
