Category: All categories

Month,2 Girls 1 Cup: (United States)
2013-08,95
2013-09,64
2013-10,59
2013-11,71
2013-12,71
2014-01,76
2014-02,71
2014-03,79
2014-04,79
2014-05,79
2014-06,93
2014-07,88
2014-08,65
2014-09,55
2014-10,56
2014-11,71
2014-12,63
2015-01,65
2015-02,50
2015-03,41
2015-04,56
2015-05,54
2015-06,54
2015-07,56
2015-08,53
2015-09,38
2015-10,41
2015-11,55
2015-12,74
2016-01,100
2016-02,71
2016-03,58
2016-04,50
2016-05,56
2016-06,63
2016-07,54
2016-08,45
2016-09,47
2016-10,39
2016-11,30
2016-12,37
2017-01,31
2017-02,23
2017-03,28
2017-04,27
2017-05,29
2017-06,28
2017-07,28
2017-08,27
2017-09,20
2017-10,21
2017-11,26
2017-12,26
2018-01,27
2018-02,29
2018-03,27
2018-04,20
2018-05,25
2018-06,25
2018-07,25
2018-08,17
2018-09,17
2018-10,16
2018-11,23
2018-12,20
2019-01,20
2019-02,17
2019-03,18
2019-04,16
2019-05,19
2019-06,22
2019-07,15
2019-08,19
2019-09,17
2019-10,23
2019-11,23
2019-12,26
2020-01,19
2020-02,20
2020-03,17
2020-04,15
2020-05,76
2020-06,32
2020-07,34
2020-08,52
2020-09,18
2020-10,15
2020-11,17
2020-12,17
2021-01,21
2021-02,36
2021-03,34
2021-04,19
2021-05,34
2021-06,22
2021-07,21
2021-08,15
2021-09,14
2021-10,14
2021-11,17
2021-12,16
2022-01,13
2022-02,17
2022-03,15
2022-04,15
2022-05,18
2022-06,30
2022-07,15
2022-08,14
2022-09,11
2022-10,12
2022-11,10
2022-12,12
2023-01,11
2023-02,11
2023-03,10
2023-04,11
2023-05,10
2023-06,11
2023-07,6
