Category: All categories

Month,Archaic Rap: (United States)
2013-08,36
2013-09,60
2013-10,79
2013-11,21
2013-12,25
2014-01,52
2014-02,43
2014-03,73
2014-04,0
2014-05,21
2014-06,44
2014-07,49
2014-08,25
2014-09,45
2014-10,38
2014-11,82
2014-12,23
2015-01,23
2015-02,21
2015-03,0
2015-04,0
2015-05,0
2015-06,53
2015-07,46
2015-08,69
2015-09,0
2015-10,50
2015-11,100
2015-12,56
2016-01,30
2016-02,25
2016-03,31
2016-04,0
2016-05,22
2016-06,44
2016-07,51
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,31
2017-01,0
2017-02,20
2017-03,18
2017-04,0
2017-05,21
2017-06,24
2017-07,0
2017-08,0
2017-09,54
2017-10,15
2017-11,16
2017-12,0
2018-01,0
2018-02,40
2018-03,0
2018-04,18
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,29
2018-11,43
2018-12,0
2019-01,14
2019-02,0
2019-03,0
2019-04,0
2019-05,46
2019-06,17
2019-07,0
2019-08,0
2019-09,17
2019-10,15
2019-11,0
2019-12,0
2020-01,28
2020-02,0
2020-03,0
2020-04,0
2020-05,25
2020-06,0
2020-07,22
2020-08,0
2020-09,16
2020-10,0
2020-11,0
2020-12,14
2021-01,0
2021-02,35
2021-03,12
2021-04,29
2021-05,0
2021-06,0
2021-07,14
2021-08,0
2021-09,0
2021-10,66
2021-11,0
2021-12,0
2022-01,16
2022-02,0
2022-03,0
2022-04,12
2022-05,0
2022-06,0
2022-07,0
2022-08,40
2022-09,0
2022-10,35
2022-11,0
2022-12,0
2023-01,13
2023-02,0
2023-03,0
2023-04,18
2023-05,0
2023-06,0
2023-07,0
