Category: All categories

Month,Fuck Yea: (United States)
2013-08,76
2013-09,65
2013-10,71
2013-11,66
2013-12,65
2014-01,53
2014-02,65
2014-03,62
2014-04,66
2014-05,61
2014-06,76
2014-07,100
2014-08,62
2014-09,66
2014-10,60
2014-11,61
2014-12,57
2015-01,47
2015-02,60
2015-03,52
2015-04,57
2015-05,56
2015-06,49
2015-07,70
2015-08,55
2015-09,49
2015-10,52
2015-11,38
2015-12,38
2016-01,35
2016-02,46
2016-03,41
2016-04,36
2016-05,38
2016-06,38
2016-07,64
2016-08,49
2016-09,45
2016-10,39
2016-11,47
2016-12,39
2017-01,42
2017-02,30
2017-03,31
2017-04,40
2017-05,39
2017-06,49
2017-07,60
2017-08,37
2017-09,32
2017-10,38
2017-11,32
2017-12,37
2018-01,31
2018-02,48
2018-03,43
2018-04,33
2018-05,31
2018-06,36
2018-07,58
2018-08,33
2018-09,37
2018-10,29
2018-11,26
2018-12,38
2019-01,31
2019-02,32
2019-03,27
2019-04,34
2019-05,26
2019-06,34
2019-07,42
2019-08,23
2019-09,31
2019-10,33
2019-11,32
2019-12,26
2020-01,25
2020-02,26
2020-03,25
2020-04,27
2020-05,33
2020-06,28
2020-07,42
2020-08,31
2020-09,31
2020-10,28
2020-11,33
2020-12,22
2021-01,28
2021-02,17
2021-03,21
2021-04,21
2021-05,30
2021-06,24
2021-07,42
2021-08,24
2021-09,28
2021-10,22
2021-11,24
2021-12,23
2022-01,27
2022-02,30
2022-03,20
2022-04,20
2022-05,20
2022-06,25
2022-07,33
2022-08,23
2022-09,18
2022-10,19
2022-11,18
2022-12,16
2023-01,20
2023-02,21
2023-03,19
2023-04,23
2023-05,22
2023-06,25
2023-07,49
