Category: All categories

Month,Harambe the Gorilla: (United States)
2013-08,1
2013-09,1
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,2
2014-07,0
2014-08,0
2014-09,2
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,2
2015-04,0
2015-05,1
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,2
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,85
2016-06,100
2016-07,21
2016-08,80
2016-09,76
2016-10,37
2016-11,23
2016-12,13
2017-01,14
2017-02,15
2017-03,9
2017-04,7
2017-05,14
2017-06,6
2017-07,4
2017-08,4
2017-09,1
2017-10,3
2017-11,3
2017-12,3
2018-01,5
2018-02,2
2018-03,5
2018-04,5
2018-05,4
2018-06,3
2018-07,5
2018-08,3
2018-09,2
2018-10,3
2018-11,5
2018-12,3
2019-01,2
2019-02,4
2019-03,4
2019-04,6
2019-05,5
2019-06,2
2019-07,3
2019-08,0
2019-09,5
2019-10,4
2019-11,4
2019-12,7
2020-01,3
2020-02,5
2020-03,4
2020-04,7
2020-05,5
2020-06,3
2020-07,3
2020-08,5
2020-09,4
2020-10,4
2020-11,1
2020-12,5
2021-01,4
2021-02,2
2021-03,6
2021-04,2
2021-05,5
2021-06,3
2021-07,2
2021-08,0
2021-09,3
2021-10,3
2021-11,1
2021-12,5
2022-01,8
2022-02,4
2022-03,6
2022-04,6
2022-05,7
2022-06,6
2022-07,3
2022-08,6
2022-09,3
2022-10,7
2022-11,7
2022-12,8
2023-01,5
2023-02,3
2023-03,9
2023-04,5
2023-05,7
2023-06,5
2023-07,0
