Category: All categories

Month,Neil deGrasse Tyson Reaction: (United States)
2013-08,0
2013-09,0
2013-10,14
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,26
2014-04,15
2014-05,11
2014-06,0
2014-07,44
2014-08,23
2014-09,100
2014-10,0
2014-11,17
2014-12,0
2015-01,26
2015-02,19
2015-03,0
2015-04,12
2015-05,0
2015-06,35
2015-07,18
2015-08,12
2015-09,0
2015-10,0
2015-11,10
2015-12,0
2016-01,19
2016-02,0
2016-03,9
2016-04,0
2016-05,0
2016-06,0
2016-07,30
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,9
2017-03,16
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,10
2017-09,0
2017-10,14
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,22
2018-04,0
2018-05,0
2018-06,8
2018-07,10
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,7
2019-01,13
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,33
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,10
2019-12,0
2020-01,13
2020-02,0
2020-03,0
2020-04,0
2020-05,15
2020-06,0
2020-07,0
2020-08,0
2020-09,15
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,7
2021-05,0
2021-06,0
2021-07,0
2021-08,8
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,11
2022-03,8
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,0
2022-10,9
2022-11,0
2022-12,0
2023-01,0
2023-02,9
2023-03,0
2023-04,0
2023-05,8
2023-06,0
2023-07,0
