Category: All categories

Month,Zerg Rush: (United States)
2013-08,59
2013-09,70
2013-10,74
2013-11,72
2013-12,72
2014-01,98
2014-02,84
2014-03,74
2014-04,71
2014-05,94
2014-06,77
2014-07,84
2014-08,73
2014-09,74
2014-10,96
2014-11,88
2014-12,73
2015-01,69
2015-02,66
2015-03,72
2015-04,90
2015-05,78
2015-06,41
2015-07,31
2015-08,36
2015-09,100
2015-10,69
2015-11,50
2015-12,53
2016-01,35
2016-02,44
2016-03,35
2016-04,32
2016-05,27
2016-06,16
2016-07,11
2016-08,14
2016-09,29
2016-10,37
2016-11,40
2016-12,34
2017-01,24
2017-02,28
2017-03,31
2017-04,22
2017-05,21
2017-06,10
2017-07,7
2017-08,14
2017-09,26
2017-10,27
2017-11,27
2017-12,23
2018-01,21
2018-02,24
2018-03,21
2018-04,19
2018-05,20
2018-06,8
2018-07,5
2018-08,10
2018-09,23
2018-10,26
2018-11,24
2018-12,18
2019-01,21
2019-02,21
2019-03,22
2019-04,30
2019-05,26
2019-06,8
2019-07,7
2019-08,16
2019-09,40
2019-10,24
2019-11,16
2019-12,15
2020-01,13
2020-02,15
2020-03,11
2020-04,13
2020-05,10
2020-06,6
2020-07,4
2020-08,7
2020-09,9
2020-10,5
2020-11,4
2020-12,5
2021-01,11
2021-02,5
2021-03,7
2021-04,5
2021-05,5
2021-06,5
2021-07,3
2021-08,3
2021-09,4
2021-10,4
2021-11,3
2021-12,4
2022-01,6
2022-02,5
2022-03,5
2022-04,6
2022-05,6
2022-06,3
2022-07,2
2022-08,3
2022-09,10
2022-10,7
2022-11,6
2022-12,5
2023-01,4
2023-02,4
2023-03,5
2023-04,3
2023-05,3
2023-06,3
2023-07,0
