Month,archaic rap: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,92
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,73
2005-12,0
2006-01,0
2006-02,0
2006-03,63
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,34
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,25
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,24
2008-03,0
2008-04,0
2008-05,71
2008-06,0
2008-07,0
2008-08,47
2008-09,0
2008-10,0
2008-11,0
2008-12,23
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,23
2010-02,36
2010-03,23
2010-04,61
2010-05,67
2010-06,49
2010-07,51
2010-08,49
2010-09,100
2010-10,24
2010-11,54
2010-12,72
2011-01,61
2011-02,65
2011-03,45
2011-04,76
2011-05,49
2011-06,43
2011-07,28
2011-08,28
2011-09,49
2011-10,79
2011-11,59
2011-12,48
2012-01,43
2012-02,50
2012-03,60
2012-04,75
2012-05,69
2012-06,51
2012-07,47
2012-08,14
2012-09,36
2012-10,39
2012-11,40
2012-12,33
2013-01,30
2013-02,12
2013-03,31
2013-04,39
2013-05,26
2013-06,14
2013-07,0
2013-08,10
2013-09,25
2013-10,27
2013-11,22
2013-12,14
2014-01,22
2014-02,22
2014-03,40
2014-04,26
2014-05,26
2014-06,31
2014-07,13
2014-08,0
2014-09,30
2014-10,0
2014-11,8
2014-12,15
2015-01,11
2015-02,21
2015-03,8
2015-04,20
2015-05,7
2015-06,0
2015-07,26
2015-08,9
2015-09,10
2015-10,23
2015-11,15
2015-12,0
2016-01,6
2016-02,0
2016-03,0
2016-04,13
2016-05,11
2016-06,0
2016-07,9
2016-08,15
2016-09,16
2016-10,0
2016-11,0
2016-12,17
2017-01,0
2017-02,5
2017-03,19
2017-04,0
2017-05,6
2017-06,15
2017-07,0
2017-08,5
2017-09,10
2017-10,6
2017-11,11
2017-12,0
2018-01,4
2018-02,0
2018-03,0
2018-04,13
2018-05,12
2018-06,0
2018-07,9
2018-08,6
2018-09,0
2018-10,5
2018-11,0
2018-12,10
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,10
2019-06,6
2019-07,6
2019-08,0
2019-09,5
2019-10,8
2019-11,0
2019-12,0
2020-01,4
2020-02,0
2020-03,8
2020-04,3
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,12
2020-10,0
2020-11,0
2020-12,0
2021-01,4
2021-02,0
2021-03,0
2021-04,11
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,10
2021-10,4
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,9
2022-05,0
2022-06,0
2022-07,5
2022-08,0
2022-09,0
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,10
2023-04,0
2023-05,0
2023-06,0
2023-07,0
2023-08,4
2023-09,4
2023-10,0
