Month,ayy lmao: (United States)
2004-01,11
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,5
2004-10,0
2004-11,0
2004-12,4
2005-01,0
2005-02,6
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,4
2005-08,0
2005-09,3
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,2
2006-04,0
2006-05,0
2006-06,0
2006-07,2
2006-08,2
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,3
2007-09,0
2007-10,3
2007-11,0
2007-12,0
2008-01,0
2008-02,1
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,2
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,2
2009-05,0
2009-06,3
2009-07,0
2009-08,0
2009-09,3
2009-10,0
2009-11,1
2009-12,2
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,1
2011-03,1
2011-04,0
2011-05,0
2011-06,0
2011-07,1
2011-08,0
2011-09,1
2011-10,0
2011-11,1
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,1
2012-07,1
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,1
2013-09,3
2013-10,27
2013-11,45
2013-12,39
2014-01,52
2014-02,36
2014-03,28
2014-04,22
2014-05,17
2014-06,19
2014-07,39
2014-08,55
2014-09,59
2014-10,55
2014-11,55
2014-12,73
2015-01,67
2015-02,57
2015-03,51
2015-04,53
2015-05,57
2015-06,50
2015-07,61
2015-08,64
2015-09,94
2015-10,97
2015-11,100
2015-12,87
2016-01,60
2016-02,63
2016-03,55
2016-04,49
2016-05,41
2016-06,32
2016-07,28
2016-08,23
2016-09,24
2016-10,25
2016-11,23
2016-12,20
2017-01,21
2017-02,21
2017-03,19
2017-04,17
2017-05,14
2017-06,12
2017-07,11
2017-08,13
2017-09,10
2017-10,12
2017-11,14
2017-12,16
2018-01,11
2018-02,10
2018-03,11
2018-04,9
2018-05,12
2018-06,7
2018-07,8
2018-08,7
2018-09,9
2018-10,8
2018-11,6
2018-12,6
2019-01,7
2019-02,6
2019-03,6
2019-04,6
2019-05,6
2019-06,5
2019-07,9
2019-08,5
2019-09,5
2019-10,5
2019-11,3
2019-12,4
2020-01,4
2020-02,3
2020-03,2
2020-04,2
2020-05,3
2020-06,4
2020-07,3
2020-08,3
2020-09,3
2020-10,2
2020-11,3
2020-12,2
2021-01,2
2021-02,2
2021-03,2
2021-04,2
2021-05,1
2021-06,2
2021-07,1
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,2
2022-02,1
2022-03,1
2022-04,2
2022-05,2
2022-06,1
2022-07,3
2022-08,1
2022-09,2
2022-10,2
2022-11,1
2022-12,1
2023-01,1
2023-02,2
2023-03,2
2023-04,1
2023-05,1
2023-06,2
2023-07,3
2023-08,1
2023-09,2
2023-10,4
