Month,big brain meme: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,28
2004-10,0
2004-11,36
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,26
2005-09,0
2005-10,10
2005-11,0
2005-12,0
2006-01,13
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,17
2006-08,0
2006-09,0
2006-10,0
2006-11,15
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,11
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,7
2008-03,5
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,7
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,5
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,2
2011-06,3
2011-07,0
2011-08,0
2011-09,0
2011-10,5
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,10
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,3
2014-05,2
2014-06,0
2014-07,2
2014-08,3
2014-09,1
2014-10,0
2014-11,3
2014-12,0
2015-01,2
2015-02,0
2015-03,0
2015-04,0
2015-05,2
2015-06,2
2015-07,0
2015-08,2
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,1
2016-02,0
2016-03,1
2016-04,0
2016-05,4
2016-06,0
2016-07,2
2016-08,0
2016-09,1
2016-10,1
2016-11,3
2016-12,3
2017-01,3
2017-02,8
2017-03,7
2017-04,8
2017-05,5
2017-06,7
2017-07,3
2017-08,6
2017-09,6
2017-10,5
2017-11,5
2017-12,6
2018-01,10
2018-02,12
2018-03,13
2018-04,10
2018-05,10
2018-06,11
2018-07,8
2018-08,19
2018-09,17
2018-10,14
2018-11,14
2018-12,13
2019-01,17
2019-02,14
2019-03,15
2019-04,19
2019-05,15
2019-06,37
2019-07,49
2019-08,82
2019-09,100
2019-10,90
2019-11,76
2019-12,66
2020-01,64
2020-02,59
2020-03,59
2020-04,55
2020-05,54
2020-06,54
2020-07,54
2020-08,56
2020-09,62
2020-10,58
2020-11,51
2020-12,50
2021-01,49
2021-02,39
2021-03,43
2021-04,41
2021-05,43
2021-06,29
2021-07,34
2021-08,33
2021-09,30
2021-10,36
2021-11,33
2021-12,31
2022-01,31
2022-02,34
2022-03,31
2022-04,32
2022-05,37
2022-06,31
2022-07,28
2022-08,34
2022-09,39
2022-10,37
2022-11,38
2022-12,32
2023-01,43
2023-02,35
2023-03,39
2023-04,34
2023-05,33
2023-06,27
2023-07,24
2023-08,28
2023-09,33
2023-10,28
