Month,cake is a lie: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,4
2004-07,0
2004-08,5
2004-09,0
2004-10,4
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,4
2005-04,0
2005-05,0
2005-06,2
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,4
2006-01,3
2006-02,0
2006-03,3
2006-04,2
2006-05,0
2006-06,0
2006-07,2
2006-08,0
2006-09,1
2006-10,0
2006-11,1
2006-12,0
2007-01,2
2007-02,0
2007-03,2
2007-04,1
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,54
2007-11,79
2007-12,71
2008-01,46
2008-02,41
2008-03,41
2008-04,35
2008-05,27
2008-06,28
2008-07,28
2008-08,25
2008-09,21
2008-10,25
2008-11,20
2008-12,26
2009-01,23
2009-02,23
2009-03,19
2009-04,24
2009-05,25
2009-06,19
2009-07,100
2009-08,29
2009-09,23
2009-10,22
2009-11,27
2009-12,27
2010-01,24
2010-02,21
2010-03,32
2010-04,26
2010-05,38
2010-06,24
2010-07,25
2010-08,63
2010-09,27
2010-10,29
2010-11,24
2010-12,24
2011-01,24
2011-02,27
2011-03,25
2011-04,55
2011-05,40
2011-06,27
2011-07,27
2011-08,23
2011-09,24
2011-10,20
2011-11,21
2011-12,21
2012-01,17
2012-02,16
2012-03,14
2012-04,18
2012-05,15
2012-06,13
2012-07,15
2012-08,14
2012-09,15
2012-10,13
2012-11,11
2012-12,13
2013-01,14
2013-02,13
2013-03,13
2013-04,13
2013-05,14
2013-06,13
2013-07,11
2013-08,10
2013-09,13
2013-10,9
2013-11,16
2013-12,15
2014-01,12
2014-02,11
2014-03,12
2014-04,9
2014-05,10
2014-06,12
2014-07,11
2014-08,9
2014-09,10
2014-10,10
2014-11,10
2014-12,8
2015-01,9
2015-02,11
2015-03,10
2015-04,11
2015-05,10
2015-06,9
2015-07,10
2015-08,10
2015-09,9
2015-10,7
2015-11,10
2015-12,9
2016-01,8
2016-02,7
2016-03,6
2016-04,6
2016-05,6
2016-06,6
2016-07,5
2016-08,5
2016-09,6
2016-10,6
2016-11,5
2016-12,5
2017-01,6
2017-02,7
2017-03,5
2017-04,6
2017-05,6
2017-06,5
2017-07,5
2017-08,4
2017-09,4
2017-10,7
2017-11,4
2017-12,5
2018-01,4
2018-02,5
2018-03,5
2018-04,4
2018-05,4
2018-06,4
2018-07,5
2018-08,4
2018-09,4
2018-10,4
2018-11,4
2018-12,4
2019-01,4
2019-02,3
2019-03,4
2019-04,3
2019-05,3
2019-06,4
2019-07,3
2019-08,3
2019-09,3
2019-10,4
2019-11,3
2019-12,3
2020-01,3
2020-02,4
2020-03,4
2020-04,5
2020-05,4
2020-06,4
2020-07,7
2020-08,4
2020-09,4
2020-10,3
2020-11,3
2020-12,3
2021-01,4
2021-02,4
2021-03,3
2021-04,2
2021-05,3
2021-06,3
2021-07,2
2021-08,2
2021-09,3
2021-10,2
2021-11,2
2021-12,2
2022-01,3
2022-02,3
2022-03,3
2022-04,4
2022-05,3
2022-06,3
2022-07,4
2022-08,3
2022-09,3
2022-10,3
2022-11,3
2022-12,4
2023-01,3
2023-02,3
2023-03,2
2023-04,3
2023-05,2
2023-06,4
2023-07,3
2023-08,2
2023-09,2
2023-10,2
