Month,cereal guy: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,8
2004-07,0
2004-08,0
2004-09,0
2004-10,17
2004-11,0
2004-12,0
2005-01,0
2005-02,20
2005-03,11
2005-04,0
2005-05,13
2005-06,6
2005-07,9
2005-08,0
2005-09,8
2005-10,0
2005-11,6
2005-12,12
2006-01,0
2006-02,8
2006-03,0
2006-04,4
2006-05,9
2006-06,19
2006-07,3
2006-08,0
2006-09,0
2006-10,6
2006-11,0
2006-12,0
2007-01,5
2007-02,5
2007-03,0
2007-04,0
2007-05,0
2007-06,4
2007-07,3
2007-08,2
2007-09,0
2007-10,4
2007-11,4
2007-12,0
2008-01,5
2008-02,4
2008-03,7
2008-04,3
2008-05,3
2008-06,3
2008-07,3
2008-08,4
2008-09,7
2008-10,9
2008-11,4
2008-12,4
2009-01,3
2009-02,2
2009-03,2
2009-04,5
2009-05,5
2009-06,4
2009-07,3
2009-08,5
2009-09,4
2009-10,0
2009-11,3
2009-12,4
2010-01,4
2010-02,7
2010-03,3
2010-04,9
2010-05,4
2010-06,7
2010-07,5
2010-08,8
2010-09,4
2010-10,9
2010-11,10
2010-12,15
2011-01,50
2011-02,62
2011-03,59
2011-04,53
2011-05,43
2011-06,35
2011-07,39
2011-08,41
2011-09,45
2011-10,71
2011-11,64
2011-12,66
2012-01,100
2012-02,97
2012-03,88
2012-04,96
2012-05,75
2012-06,71
2012-07,73
2012-08,69
2012-09,55
2012-10,49
2012-11,46
2012-12,52
2013-01,46
2013-02,41
2013-03,36
2013-04,32
2013-05,33
2013-06,26
2013-07,20
2013-08,22
2013-09,18
2013-10,19
2013-11,16
2013-12,11
2014-01,13
2014-02,16
2014-03,14
2014-04,12
2014-05,14
2014-06,15
2014-07,14
2014-08,10
2014-09,12
2014-10,12
2014-11,11
2014-12,10
2015-01,11
2015-02,10
2015-03,13
2015-04,11
2015-05,13
2015-06,11
2015-07,13
2015-08,10
2015-09,16
2015-10,13
2015-11,13
2015-12,14
2016-01,12
2016-02,15
2016-03,17
2016-04,11
2016-05,11
2016-06,10
2016-07,9
2016-08,10
2016-09,10
2016-10,11
2016-11,10
2016-12,12
2017-01,13
2017-02,9
2017-03,15
2017-04,9
2017-05,10
2017-06,7
2017-07,10
2017-08,10
2017-09,9
2017-10,10
2017-11,12
2017-12,10
2018-01,12
2018-02,10
2018-03,8
2018-04,9
2018-05,8
2018-06,7
2018-07,7
2018-08,9
2018-09,7
2018-10,9
2018-11,8
2018-12,7
2019-01,7
2019-02,9
2019-03,10
2019-04,10
2019-05,8
2019-06,8
2019-07,8
2019-08,6
2019-09,7
2019-10,7
2019-11,10
2019-12,10
2020-01,11
2020-02,9
2020-03,10
2020-04,11
2020-05,11
2020-06,10
2020-07,8
2020-08,7
2020-09,9
2020-10,8
2020-11,8
2020-12,8
2021-01,9
2021-02,9
2021-03,12
2021-04,11
2021-05,9
2021-06,7
2021-07,7
2021-08,7
2021-09,8
2021-10,9
2021-11,6
2021-12,7
2022-01,9
2022-02,8
2022-03,9
2022-04,10
2022-05,11
2022-06,9
2022-07,9
2022-08,7
2022-09,9
2022-10,11
2022-11,9
2022-12,8
2023-01,8
2023-02,9
2023-03,8
2023-04,9
2023-05,8
2023-06,8
2023-07,6
2023-08,6
2023-09,8
2023-10,10
