Month,darude: (United States)
2004-01,33
2004-02,26
2004-03,15
2004-04,14
2004-05,23
2004-06,15
2004-07,23
2004-08,23
2004-09,22
2004-10,25
2004-11,36
2004-12,22
2005-01,33
2005-02,36
2005-03,33
2005-04,21
2005-05,26
2005-06,24
2005-07,26
2005-08,19
2005-09,23
2005-10,26
2005-11,24
2005-12,26
2006-01,25
2006-02,26
2006-03,22
2006-04,22
2006-05,32
2006-06,21
2006-07,17
2006-08,19
2006-09,23
2006-10,23
2006-11,16
2006-12,15
2007-01,18
2007-02,15
2007-03,11
2007-04,16
2007-05,19
2007-06,15
2007-07,14
2007-08,15
2007-09,19
2007-10,16
2007-11,18
2007-12,18
2008-01,16
2008-02,16
2008-03,13
2008-04,17
2008-05,15
2008-06,15
2008-07,15
2008-08,13
2008-09,10
2008-10,15
2008-11,20
2008-12,17
2009-01,13
2009-02,14
2009-03,14
2009-04,14
2009-05,14
2009-06,11
2009-07,12
2009-08,13
2009-09,13
2009-10,14
2009-11,13
2009-12,12
2010-01,13
2010-02,14
2010-03,14
2010-04,12
2010-05,12
2010-06,10
2010-07,11
2010-08,11
2010-09,13
2010-10,14
2010-11,12
2010-12,14
2011-01,13
2011-02,13
2011-03,11
2011-04,13
2011-05,11
2011-06,11
2011-07,11
2011-08,9
2011-09,10
2011-10,10
2011-11,11
2011-12,11
2012-01,9
2012-02,8
2012-03,7
2012-04,10
2012-05,8
2012-06,7
2012-07,7
2012-08,7
2012-09,7
2012-10,7
2012-11,7
2012-12,6
2013-01,6
2013-02,7
2013-03,9
2013-04,11
2013-05,12
2013-06,10
2013-07,12
2013-08,12
2013-09,12
2013-10,15
2013-11,13
2013-12,14
2014-01,11
2014-02,13
2014-03,15
2014-04,15
2014-05,19
2014-06,25
2014-07,99
2014-08,90
2014-09,73
2014-10,67
2014-11,58
2014-12,71
2015-01,62
2015-02,59
2015-03,57
2015-04,100
2015-05,59
2015-06,53
2015-07,48
2015-08,44
2015-09,50
2015-10,42
2015-11,35
2015-12,32
2016-01,32
2016-02,29
2016-03,27
2016-04,25
2016-05,26
2016-06,26
2016-07,27
2016-08,21
2016-09,21
2016-10,22
2016-11,17
2016-12,19
2017-01,24
2017-02,19
2017-03,20
2017-04,20
2017-05,16
2017-06,13
2017-07,16
2017-08,15
2017-09,17
2017-10,15
2017-11,14
2017-12,16
2018-01,18
2018-02,14
2018-03,14
2018-04,17
2018-05,13
2018-06,13
2018-07,14
2018-08,11
2018-09,12
2018-10,12
2018-11,12
2018-12,12
2019-01,11
2019-02,12
2019-03,11
2019-04,13
2019-05,11
2019-06,11
2019-07,9
2019-08,10
2019-09,10
2019-10,9
2019-11,9
2019-12,9
2020-01,9
2020-02,11
2020-03,9
2020-04,12
2020-05,10
2020-06,8
2020-07,8
2020-08,8
2020-09,8
2020-10,8
2020-11,8
2020-12,9
2021-01,8
2021-02,8
2021-03,7
2021-04,7
2021-05,6
2021-06,7
2021-07,7
2021-08,6
2021-09,7
2021-10,6
2021-11,8
2021-12,7
2022-01,8
2022-02,8
2022-03,7
2022-04,7
2022-05,8
2022-06,9
2022-07,9
2022-08,7
2022-09,8
2022-10,7
2022-11,7
2022-12,7
2023-01,8
2023-02,8
2023-03,8
2023-04,7
2023-05,8
2023-06,8
2023-07,7
2023-08,8
2023-09,9
2023-10,10
