Month,derp: (United States)
2004-01,2
2004-02,2
2004-03,0
2004-04,2
2004-05,0
2004-06,1
2004-07,2
2004-08,1
2004-09,2
2004-10,1
2004-11,2
2004-12,1
2005-01,3
2005-02,1
2005-03,1
2005-04,4
2005-05,2
2005-06,2
2005-07,1
2005-08,3
2005-09,1
2005-10,1
2005-11,2
2005-12,2
2006-01,1
2006-02,2
2006-03,3
2006-04,1
2006-05,3
2006-06,1
2006-07,1
2006-08,1
2006-09,3
2006-10,1
2006-11,<1
2006-12,1
2007-01,2
2007-02,3
2007-03,2
2007-04,2
2007-05,1
2007-06,2
2007-07,1
2007-08,2
2007-09,1
2007-10,2
2007-11,2
2007-12,1
2008-01,2
2008-02,1
2008-03,2
2008-04,2
2008-05,2
2008-06,1
2008-07,2
2008-08,2
2008-09,2
2008-10,2
2008-11,2
2008-12,3
2009-01,3
2009-02,4
2009-03,5
2009-04,3
2009-05,5
2009-06,3
2009-07,6
2009-08,6
2009-09,6
2009-10,8
2009-11,8
2009-12,12
2010-01,15
2010-02,19
2010-03,20
2010-04,24
2010-05,24
2010-06,27
2010-07,43
2010-08,46
2010-09,45
2010-10,52
2010-11,53
2010-12,51
2011-01,61
2011-02,63
2011-03,65
2011-04,69
2011-05,69
2011-06,65
2011-07,67
2011-08,66
2011-09,73
2011-10,83
2011-11,72
2011-12,79
2012-01,88
2012-02,95
2012-03,87
2012-04,88
2012-05,87
2012-06,90
2012-07,100
2012-08,88
2012-09,83
2012-10,77
2012-11,71
2012-12,75
2013-01,74
2013-02,74
2013-03,64
2013-04,69
2013-05,65
2013-06,68
2013-07,64
2013-08,65
2013-09,71
2013-10,73
2013-11,64
2013-12,77
2014-01,90
2014-02,72
2014-03,60
2014-04,70
2014-05,70
2014-06,68
2014-07,67
2014-08,69
2014-09,70
2014-10,71
2014-11,69
2014-12,68
2015-01,62
2015-02,67
2015-03,64
2015-04,65
2015-05,69
2015-06,68
2015-07,58
2015-08,59
2015-09,74
2015-10,70
2015-11,72
2015-12,69
2016-01,63
2016-02,67
2016-03,63
2016-04,59
2016-05,60
2016-06,55
2016-07,49
2016-08,48
2016-09,55
2016-10,56
2016-11,52
2016-12,46
2017-01,48
2017-02,46
2017-03,46
2017-04,44
2017-05,44
2017-06,35
2017-07,34
2017-08,33
2017-09,36
2017-10,44
2017-11,39
2017-12,34
2018-01,38
2018-02,36
2018-03,34
2018-04,31
2018-05,33
2018-06,24
2018-07,23
2018-08,24
2018-09,30
2018-10,29
2018-11,29
2018-12,28
2019-01,28
2019-02,26
2019-03,25
2019-04,24
2019-05,24
2019-06,19
2019-07,19
2019-08,20
2019-09,23
2019-10,22
2019-11,20
2019-12,18
2020-01,19
2020-02,18
2020-03,17
2020-04,18
2020-05,19
2020-06,18
2020-07,17
2020-08,18
2020-09,20
2020-10,16
2020-11,17
2020-12,16
2021-01,16
2021-02,16
2021-03,15
2021-04,16
2021-05,17
2021-06,16
2021-07,16
2021-08,16
2021-09,13
2021-10,13
2021-11,14
2021-12,13
2022-01,14
2022-02,14
2022-03,15
2022-04,15
2022-05,14
2022-06,15
2022-07,14
2022-08,14
2022-09,13
2022-10,12
2022-11,12
2022-12,12
2023-01,13
2023-02,13
2023-03,13
2023-04,11
2023-05,13
2023-06,13
2023-07,12
2023-08,11
2023-09,11
2023-10,12
