Month,dick butt: (United States)
2004-01,12
2004-02,17
2004-03,17
2004-04,10
2004-05,17
2004-06,0
2004-07,9
2004-08,7
2004-09,11
2004-10,26
2004-11,18
2004-12,15
2005-01,21
2005-02,16
2005-03,16
2005-04,17
2005-05,12
2005-06,11
2005-07,16
2005-08,18
2005-09,12
2005-10,19
2005-11,18
2005-12,15
2006-01,16
2006-02,11
2006-03,15
2006-04,12
2006-05,8
2006-06,13
2006-07,11
2006-08,13
2006-09,3
2006-10,12
2006-11,15
2006-12,14
2007-01,13
2007-02,13
2007-03,13
2007-04,12
2007-05,8
2007-06,16
2007-07,13
2007-08,12
2007-09,12
2007-10,14
2007-11,14
2007-12,18
2008-01,16
2008-02,15
2008-03,14
2008-04,18
2008-05,19
2008-06,18
2008-07,16
2008-08,19
2008-09,12
2008-10,15
2008-11,18
2008-12,17
2009-01,21
2009-02,22
2009-03,20
2009-04,20
2009-05,19
2009-06,20
2009-07,20
2009-08,16
2009-09,18
2009-10,17
2009-11,18
2009-12,19
2010-01,25
2010-02,20
2010-03,32
2010-04,30
2010-05,27
2010-06,22
2010-07,30
2010-08,31
2010-09,31
2010-10,28
2010-11,31
2010-12,29
2011-01,28
2011-02,30
2011-03,28
2011-04,30
2011-05,29
2011-06,30
2011-07,30
2011-08,29
2011-09,30
2011-10,27
2011-11,32
2011-12,35
2012-01,34
2012-02,31
2012-03,31
2012-04,36
2012-05,34
2012-06,38
2012-07,35
2012-08,37
2012-09,39
2012-10,39
2012-11,41
2012-12,43
2013-01,40
2013-02,42
2013-03,44
2013-04,49
2013-05,50
2013-06,51
2013-07,56
2013-08,50
2013-09,50
2013-10,51
2013-11,58
2013-12,64
2014-01,81
2014-02,70
2014-03,72
2014-04,84
2014-05,98
2014-06,100
2014-07,97
2014-08,87
2014-09,92
2014-10,83
2014-11,86
2014-12,96
2015-01,89
2015-02,79
2015-03,79
2015-04,89
2015-05,91
2015-06,85
2015-07,90
2015-08,88
2015-09,82
2015-10,70
2015-11,81
2015-12,86
2016-01,72
2016-02,74
2016-03,73
2016-04,73
2016-05,75
2016-06,75
2016-07,76
2016-08,64
2016-09,59
2016-10,63
2016-11,65
2016-12,72
2017-01,58
2017-02,64
2017-03,58
2017-04,61
2017-05,60
2017-06,63
2017-07,61
2017-08,55
2017-09,50
2017-10,50
2017-11,50
2017-12,50
2018-01,46
2018-02,48
2018-03,50
2018-04,43
2018-05,44
2018-06,46
2018-07,45
2018-08,45
2018-09,43
2018-10,43
2018-11,40
2018-12,44
2019-01,43
2019-02,37
2019-03,37
2019-04,38
2019-05,37
2019-06,39
2019-07,36
2019-08,34
2019-09,34
2019-10,35
2019-11,39
2019-12,39
2020-01,37
2020-02,35
2020-03,35
2020-04,35
2020-05,35
2020-06,35
2020-07,32
2020-08,33
2020-09,32
2020-10,33
2020-11,35
2020-12,38
2021-01,38
2021-02,37
2021-03,33
2021-04,34
2021-05,40
2021-06,36
2021-07,35
2021-08,37
2021-09,31
2021-10,36
2021-11,35
2021-12,34
2022-01,38
2022-02,37
2022-03,37
2022-04,36
2022-05,36
2022-06,35
2022-07,39
2022-08,33
2022-09,32
2022-10,30
2022-11,29
2022-12,30
2023-01,30
2023-02,31
2023-03,28
2023-04,29
2023-05,31
2023-06,28
2023-07,29
2023-08,27
2023-09,26
2023-10,31
