Month,dont talk to me or my son ever again: (United States)
2004-01,76
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,81
2005-04,0
2005-05,42
2005-06,54
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,31
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,20
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,31
2007-07,0
2007-08,0
2007-09,25
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,30
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,23
2010-06,0
2010-07,0
2010-08,0
2010-09,14
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,8
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,6
2011-12,0
2012-01,0
2012-02,23
2012-03,0
2012-04,0
2012-05,9
2012-06,0
2012-07,23
2012-08,0
2012-09,0
2012-10,0
2012-11,7
2012-12,0
2013-01,0
2013-02,0
2013-03,11
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,16
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,5
2014-07,0
2014-08,0
2014-09,5
2014-10,0
2014-11,10
2014-12,0
2015-01,0
2015-02,0
2015-03,17
2015-04,0
2015-05,0
2015-06,10
2015-07,0
2015-08,8
2015-09,0
2015-10,10
2015-11,0
2015-12,6
2016-01,9
2016-02,24
2016-03,100
2016-04,87
2016-05,47
2016-06,34
2016-07,23
2016-08,31
2016-09,23
2016-10,17
2016-11,21
2016-12,19
2017-01,7
2017-02,15
2017-03,26
2017-04,13
2017-05,18
2017-06,24
2017-07,13
2017-08,14
2017-09,13
2017-10,8
2017-11,9
2017-12,15
2018-01,10
2018-02,42
2018-03,30
2018-04,39
2018-05,62
2018-06,51
2018-07,22
2018-08,41
2018-09,48
2018-10,44
2018-11,36
2018-12,33
2019-01,34
2019-02,16
2019-03,37
2019-04,37
2019-05,43
2019-06,31
2019-07,25
2019-08,26
2019-09,40
2019-10,31
2019-11,34
2019-12,39
2020-01,47
2020-02,25
2020-03,23
2020-04,23
2020-05,30
2020-06,22
2020-07,21
2020-08,33
2020-09,8
2020-10,9
2020-11,9
2020-12,11
2021-01,13
2021-02,5
2021-03,6
2021-04,0
2021-05,10
2021-06,5
2021-07,0
2021-08,11
2021-09,5
2021-10,5
2021-11,3
2021-12,0
2022-01,9
2022-02,4
2022-03,6
2022-04,0
2022-05,5
2022-06,7
2022-07,6
2022-08,4
2022-09,0
2022-10,8
2022-11,4
2022-12,6
2023-01,3
2023-02,0
2023-03,0
2023-04,14
2023-05,0
2023-06,11
2023-07,0
2023-08,0
2023-09,0
2023-10,0
