Month,facepalm: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,4
2004-08,0
2004-09,0
2004-10,0
2004-11,6
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,6
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,3
2005-11,6
2005-12,0
2006-01,0
2006-02,0
2006-03,3
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,1
2007-03,0
2007-04,2
2007-05,4
2007-06,6
2007-07,10
2007-08,6
2007-09,13
2007-10,10
2007-11,12
2007-12,18
2008-01,14
2008-02,21
2008-03,24
2008-04,25
2008-05,27
2008-06,33
2008-07,34
2008-08,36
2008-09,37
2008-10,37
2008-11,40
2008-12,42
2009-01,42
2009-02,43
2009-03,47
2009-04,44
2009-05,49
2009-06,50
2009-07,56
2009-08,61
2009-09,56
2009-10,59
2009-11,57
2009-12,66
2010-01,61
2010-02,69
2010-03,73
2010-04,77
2010-05,69
2010-06,68
2010-07,69
2010-08,66
2010-09,67
2010-10,61
2010-11,62
2010-12,60
2011-01,61
2011-02,66
2011-03,62
2011-04,61
2011-05,67
2011-06,72
2011-07,70
2011-08,73
2011-09,68
2011-10,77
2011-11,72
2011-12,77
2012-01,73
2012-02,97
2012-03,94
2012-04,92
2012-05,81
2012-06,82
2012-07,80
2012-08,93
2012-09,97
2012-10,91
2012-11,83
2012-12,81
2013-01,97
2013-02,91
2013-03,91
2013-04,93
2013-05,96
2013-06,98
2013-07,97
2013-08,89
2013-09,86
2013-10,89
2013-11,83
2013-12,76
2014-01,85
2014-02,82
2014-03,82
2014-04,87
2014-05,90
2014-06,98
2014-07,100
2014-08,85
2014-09,88
2014-10,89
2014-11,76
2014-12,79
2015-01,82
2015-02,80
2015-03,83
2015-04,84
2015-05,79
2015-06,86
2015-07,91
2015-08,78
2015-09,80
2015-10,80
2015-11,71
2015-12,77
2016-01,56
2016-02,61
2016-03,60
2016-04,55
2016-05,60
2016-06,62
2016-07,61
2016-08,59
2016-09,60
2016-10,57
2016-11,63
2016-12,57
2017-01,65
2017-02,59
2017-03,53
2017-04,53
2017-05,52
2017-06,50
2017-07,52
2017-08,53
2017-09,56
2017-10,53
2017-11,51
2017-12,47
2018-01,45
2018-02,46
2018-03,49
2018-04,42
2018-05,45
2018-06,43
2018-07,40
2018-08,46
2018-09,45
2018-10,42
2018-11,43
2018-12,38
2019-01,40
2019-02,44
2019-03,36
2019-04,38
2019-05,44
2019-06,40
2019-07,35
2019-08,34
2019-09,34
2019-10,35
2019-11,30
2019-12,27
2020-01,33
2020-02,34
2020-03,57
2020-04,46
2020-05,38
2020-06,38
2020-07,37
2020-08,36
2020-09,39
2020-10,30
2020-11,25
2020-12,26
2021-01,25
2021-02,25
2021-03,26
2021-04,25
2021-05,21
2021-06,22
2021-07,21
2021-08,22
2021-09,20
2021-10,20
2021-11,28
2021-12,18
2022-01,23
2022-02,24
2022-03,23
2022-04,22
2022-05,23
2022-06,24
2022-07,23
2022-08,23
2022-09,21
2022-10,21
2022-11,21
2022-12,19
2023-01,20
2023-02,20
2023-03,21
2023-04,19
2023-05,22
2023-06,22
2023-07,17
2023-08,18
2023-09,18
2023-10,14
