Month,fuck yea: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,23
2004-05,0
2004-06,0
2004-07,31
2004-08,0
2004-09,0
2004-10,66
2004-11,49
2004-12,21
2005-01,25
2005-02,26
2005-03,22
2005-04,21
2005-05,30
2005-06,31
2005-07,26
2005-08,21
2005-09,24
2005-10,29
2005-11,11
2005-12,25
2006-01,13
2006-02,13
2006-03,13
2006-04,12
2006-05,19
2006-06,24
2006-07,21
2006-08,6
2006-09,8
2006-10,18
2006-11,15
2006-12,15
2007-01,14
2007-02,12
2007-03,9
2007-04,9
2007-05,8
2007-06,17
2007-07,10
2007-08,10
2007-09,12
2007-10,8
2007-11,7
2007-12,2
2008-01,11
2008-02,8
2008-03,5
2008-04,15
2008-05,10
2008-06,14
2008-07,12
2008-08,15
2008-09,17
2008-10,11
2008-11,12
2008-12,12
2009-01,3
2009-02,7
2009-03,8
2009-04,13
2009-05,11
2009-06,15
2009-07,20
2009-08,18
2009-09,16
2009-10,15
2009-11,12
2009-12,14
2010-01,17
2010-02,40
2010-03,37
2010-04,40
2010-05,38
2010-06,39
2010-07,51
2010-08,47
2010-09,45
2010-10,62
2010-11,66
2010-12,71
2011-01,67
2011-02,74
2011-03,81
2011-04,83
2011-05,100
2011-06,65
2011-07,78
2011-08,68
2011-09,70
2011-10,62
2011-11,70
2011-12,79
2012-01,75
2012-02,80
2012-03,80
2012-04,82
2012-05,76
2012-06,83
2012-07,81
2012-08,63
2012-09,65
2012-10,65
2012-11,60
2012-12,63
2013-01,58
2013-02,49
2013-03,51
2013-04,46
2013-05,39
2013-06,47
2013-07,55
2013-08,37
2013-09,31
2013-10,33
2013-11,29
2013-12,31
2014-01,24
2014-02,29
2014-03,29
2014-04,30
2014-05,30
2014-06,34
2014-07,43
2014-08,27
2014-09,30
2014-10,27
2014-11,26
2014-12,24
2015-01,25
2015-02,26
2015-03,23
2015-04,27
2015-05,27
2015-06,23
2015-07,39
2015-08,24
2015-09,20
2015-10,21
2015-11,18
2015-12,20
2016-01,17
2016-02,18
2016-03,18
2016-04,17
2016-05,17
2016-06,19
2016-07,28
2016-08,22
2016-09,18
2016-10,18
2016-11,21
2016-12,18
2017-01,19
2017-02,15
2017-03,16
2017-04,19
2017-05,21
2017-06,21
2017-07,28
2017-08,17
2017-09,16
2017-10,18
2017-11,15
2017-12,17
2018-01,15
2018-02,21
2018-03,20
2018-04,15
2018-05,14
2018-06,15
2018-07,25
2018-08,15
2018-09,16
2018-10,14
2018-11,14
2018-12,15
2019-01,16
2019-02,15
2019-03,12
2019-04,15
2019-05,11
2019-06,16
2019-07,21
2019-08,12
2019-09,14
2019-10,13
2019-11,13
2019-12,11
2020-01,11
2020-02,12
2020-03,12
2020-04,11
2020-05,14
2020-06,13
2020-07,19
2020-08,17
2020-09,12
2020-10,14
2020-11,15
2020-12,9
2021-01,13
2021-02,8
2021-03,9
2021-04,12
2021-05,11
2021-06,12
2021-07,19
2021-08,11
2021-09,12
2021-10,11
2021-11,10
2021-12,8
2022-01,13
2022-02,13
2022-03,9
2022-04,9
2022-05,10
2022-06,11
2022-07,16
2022-08,9
2022-09,8
2022-10,8
2022-11,9
2022-12,8
2023-01,8
2023-02,9
2023-03,10
2023-04,11
2023-05,9
2023-06,11
2023-07,17
2023-08,10
2023-09,7
2023-10,7
