Month,haters gonna hate: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,8
2004-06,0
2004-07,0
2004-08,0
2004-09,8
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,2
2005-08,0
2005-09,0
2005-10,0
2005-11,3
2005-12,0
2006-01,0
2006-02,2
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,1
2006-12,0
2007-01,0
2007-02,0
2007-03,1
2007-04,3
2007-05,0
2007-06,2
2007-07,1
2007-08,2
2007-09,0
2007-10,2
2007-11,1
2007-12,0
2008-01,1
2008-02,1
2008-03,2
2008-04,0
2008-05,0
2008-06,1
2008-07,0
2008-08,2
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,2
2009-03,0
2009-04,1
2009-05,2
2009-06,2
2009-07,2
2009-08,3
2009-09,4
2009-10,5
2009-11,7
2009-12,8
2010-01,10
2010-02,17
2010-03,26
2010-04,37
2010-05,54
2010-06,59
2010-07,51
2010-08,57
2010-09,58
2010-10,55
2010-11,60
2010-12,61
2011-01,70
2011-02,77
2011-03,79
2011-04,76
2011-05,80
2011-06,74
2011-07,75
2011-08,82
2011-09,80
2011-10,82
2011-11,82
2011-12,85
2012-01,79
2012-02,100
2012-03,82
2012-04,89
2012-05,79
2012-06,73
2012-07,70
2012-08,71
2012-09,71
2012-10,62
2012-11,67
2012-12,62
2013-01,54
2013-02,55
2013-03,59
2013-04,50
2013-05,60
2013-06,53
2013-07,51
2013-08,49
2013-09,49
2013-10,44
2013-11,42
2013-12,44
2014-01,44
2014-02,44
2014-03,45
2014-04,47
2014-05,47
2014-06,47
2014-07,46
2014-08,54
2014-09,76
2014-10,75
2014-11,70
2014-12,64
2015-01,76
2015-02,73
2015-03,63
2015-04,60
2015-05,50
2015-06,51
2015-07,48
2015-08,47
2015-09,47
2015-10,44
2015-11,74
2015-12,36
2016-01,35
2016-02,32
2016-03,31
2016-04,31
2016-05,30
2016-06,30
2016-07,32
2016-08,26
2016-09,29
2016-10,27
2016-11,27
2016-12,24
2017-01,24
2017-02,23
2017-03,20
2017-04,21
2017-05,21
2017-06,20
2017-07,17
2017-08,18
2017-09,18
2017-10,19
2017-11,15
2017-12,16
2018-01,18
2018-02,18
2018-03,15
2018-04,14
2018-05,14
2018-06,15
2018-07,12
2018-08,13
2018-09,12
2018-10,12
2018-11,11
2018-12,11
2019-01,14
2019-02,12
2019-03,11
2019-04,9
2019-05,12
2019-06,11
2019-07,10
2019-08,11
2019-09,8
2019-10,10
2019-11,9
2019-12,9
2020-01,9
2020-02,9
2020-03,8
2020-04,8
2020-05,8
2020-06,7
2020-07,7
2020-08,6
2020-09,7
2020-10,8
2020-11,6
2020-12,5
2021-01,6
2021-02,6
2021-03,6
2021-04,6
2021-05,5
2021-06,6
2021-07,5
2021-08,6
2021-09,6
2021-10,5
2021-11,6
2021-12,7
2022-01,4
2022-02,6
2022-03,4
2022-04,5
2022-05,5
2022-06,4
2022-07,6
2022-08,7
2022-09,5
2022-10,5
2022-11,5
2022-12,5
2023-01,5
2023-02,5
2023-03,5
2023-04,5
2023-05,5
2023-06,4
2023-07,4
2023-08,5
2023-09,5
2023-10,5
