Month,i am the one who knocks: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,28
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,9
2004-12,12
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,16
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,4
2006-07,0
2006-08,5
2006-09,8
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,13
2007-07,0
2007-08,0
2007-09,0
2007-10,4
2007-11,0
2007-12,0
2008-01,0
2008-02,3
2008-03,0
2008-04,3
2008-05,0
2008-06,0
2008-07,3
2008-08,0
2008-09,0
2008-10,5
2008-11,2
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,3
2009-06,5
2009-07,0
2009-08,0
2009-09,0
2009-10,3
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,2
2010-10,2
2010-11,1
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,1
2011-05,0
2011-06,3
2011-07,2
2011-08,5
2011-09,6
2011-10,7
2011-11,4
2011-12,7
2012-01,6
2012-02,8
2012-03,5
2012-04,3
2012-05,2
2012-06,16
2012-07,37
2012-08,25
2012-09,25
2012-10,17
2012-11,11
2012-12,12
2013-01,16
2013-02,13
2013-03,12
2013-04,14
2013-05,9
2013-06,30
2013-07,33
2013-08,86
2013-09,100
2013-10,83
2013-11,49
2013-12,50
2014-01,43
2014-02,40
2014-03,34
2014-04,27
2014-05,32
2014-06,33
2014-07,29
2014-08,35
2014-09,36
2014-10,26
2014-11,22
2014-12,21
2015-01,25
2015-02,19
2015-03,17
2015-04,21
2015-05,17
2015-06,19
2015-07,18
2015-08,21
2015-09,16
2015-10,13
2015-11,12
2015-12,15
2016-01,10
2016-02,15
2016-03,20
2016-04,16
2016-05,15
2016-06,17
2016-07,14
2016-08,15
2016-09,24
2016-10,20
2016-11,9
2016-12,20
2017-01,11
2017-02,13
2017-03,9
2017-04,14
2017-05,12
2017-06,12
2017-07,9
2017-08,8
2017-09,7
2017-10,8
2017-11,6
2017-12,10
2018-01,11
2018-02,7
2018-03,8
2018-04,9
2018-05,6
2018-06,8
2018-07,7
2018-08,9
2018-09,7
2018-10,7
2018-11,7
2018-12,7
2019-01,10
2019-02,7
2019-03,8
2019-04,7
2019-05,7
2019-06,9
2019-07,7
2019-08,7
2019-09,9
2019-10,19
2019-11,7
2019-12,7
2020-01,6
2020-02,8
2020-03,6
2020-04,9
2020-05,6
2020-06,5
2020-07,8
2020-08,7
2020-09,6
2020-10,6
2020-11,6
2020-12,4
2021-01,7
2021-02,6
2021-03,6
2021-04,7
2021-05,8
2021-06,7
2021-07,5
2021-08,6
2021-09,6
2021-10,7
2021-11,4
2021-12,6
2022-01,9
2022-02,7
2022-03,11
2022-04,16
2022-05,22
2022-06,26
2022-07,28
2022-08,39
2022-09,38
2022-10,33
2022-11,26
2022-12,24
2023-01,28
2023-02,27
2023-03,22
2023-04,18
2023-05,18
2023-06,14
2023-07,10
2023-08,11
2023-09,12
2023-10,16
