Month,i know that feel bro: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,18
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,37
2005-04,0
2005-05,0
2005-06,17
2005-07,12
2005-08,0
2005-09,0
2005-10,0
2005-11,32
2005-12,0
2006-01,7
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,8
2006-07,0
2006-08,15
2006-09,6
2006-10,0
2006-11,9
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,5
2007-06,7
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,10
2008-05,4
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,10
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,4
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,8
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,8
2011-03,14
2011-04,11
2011-05,17
2011-06,19
2011-07,22
2011-08,25
2011-09,26
2011-10,20
2011-11,37
2011-12,35
2012-01,35
2012-02,47
2012-03,60
2012-04,60
2012-05,56
2012-06,100
2012-07,83
2012-08,96
2012-09,88
2012-10,84
2012-11,66
2012-12,73
2013-01,54
2013-02,64
2013-03,48
2013-04,44
2013-05,42
2013-06,48
2013-07,40
2013-08,41
2013-09,46
2013-10,31
2013-11,37
2013-12,32
2014-01,28
2014-02,27
2014-03,25
2014-04,22
2014-05,19
2014-06,18
2014-07,29
2014-08,17
2014-09,21
2014-10,22
2014-11,18
2014-12,22
2015-01,14
2015-02,19
2015-03,17
2015-04,14
2015-05,10
2015-06,20
2015-07,12
2015-08,15
2015-09,11
2015-10,14
2015-11,14
2015-12,16
2016-01,5
2016-02,9
2016-03,6
2016-04,10
2016-05,6
2016-06,9
2016-07,7
2016-08,6
2016-09,6
2016-10,7
2016-11,4
2016-12,0
2017-01,6
2017-02,1
2017-03,4
2017-04,6
2017-05,3
2017-06,3
2017-07,3
2017-08,7
2017-09,5
2017-10,2
2017-11,3
2017-12,3
2018-01,4
2018-02,2
2018-03,3
2018-04,4
2018-05,0
2018-06,1
2018-07,1
2018-08,4
2018-09,3
2018-10,2
2018-11,3
2018-12,2
2019-01,2
2019-02,0
2019-03,2
2019-04,2
2019-05,0
2019-06,1
2019-07,3
2019-08,4
2019-09,2
2019-10,1
2019-11,0
2019-12,3
2020-01,1
2020-02,0
2020-03,1
2020-04,1
2020-05,0
2020-06,2
2020-07,1
2020-08,1
2020-09,2
2020-10,0
2020-11,2
2020-12,2
2021-01,0
2021-02,1
2021-03,3
2021-04,0
2021-05,2
2021-06,0
2021-07,1
2021-08,2
2021-09,1
2021-10,2
2021-11,3
2021-12,1
2022-01,4
2022-02,2
2022-03,2
2022-04,1
2022-05,2
2022-06,0
2022-07,2
2022-08,0
2022-09,3
2022-10,2
2022-11,2
2022-12,1
2023-01,5
2023-02,1
2023-03,1
2023-04,0
2023-05,2
2023-06,1
2023-07,2
2023-08,1
2023-09,2
2023-10,0
