date	blobo	isPartial
2014-01-01	91	False
2014-02-01	89	False
2014-03-01	93	False
2014-04-01	91	False
2014-05-01	92	False
2014-06-01	100	False
2014-07-01	90	False
2014-08-01	95	False
2014-09-01	84	False
2014-10-01	95	False
2014-11-01	81	False
2014-12-01	75	False
2015-01-01	77	False
2015-02-01	91	False
2015-03-01	84	False
2015-04-01	86	False
2015-05-01	74	False
2015-06-01	79	False
2015-07-01	84	False
2015-08-01	89	False
2015-09-01	91	False
2015-10-01	85	False
2015-11-01	91	False
2015-12-01	75	False
2016-01-01	84	False
2016-02-01	100	False
2016-03-01	86	False
2016-04-01	76	False
2016-05-01	74	False
2016-06-01	72	False
2016-07-01	73	False
2016-08-01	85	False
2016-09-01	84	False
2016-10-01	72	False
2016-11-01	72	False
2016-12-01	70	False
2017-01-01	75	False
2017-02-01	85	False
2017-03-01	71	False
2017-04-01	70	False
2017-05-01	86	False
2017-06-01	68	False
2017-07-01	64	False
2017-08-01	62	False
2017-09-01	53	False
2017-10-01	60	False
2017-11-01	55	False
2017-12-01	52	False
2018-01-01	61	False
2018-02-01	73	False
2018-03-01	70	False
2018-04-01	63	False
2018-05-01	59	False
2018-06-01	64	False
2018-07-01	56	False
2018-08-01	50	False
2018-09-01	52	False
2018-10-01	59	False
2018-11-01	50	False
2018-12-01	38	False
2019-01-01	51	False
2019-02-01	56	False
2019-03-01	56	False
2019-04-01	43	False
2019-05-01	44	False
2019-06-01	53	False
2019-07-01	37	False
2019-08-01	46	False
2019-09-01	39	False
2019-10-01	48	False
2019-11-01	43	False
2019-12-01	35	False
2020-01-01	44	False
2020-02-01	57	False
2020-03-01	50	False
2020-04-01	49	False
2020-05-01	39	False
2020-06-01	48	False
2020-07-01	34	False
2020-08-01	35	False
2020-09-01	34	False
2020-10-01	30	False
2020-11-01	36	False
2020-12-01	33	False
2021-01-01	33	False
2021-02-01	36	False
2021-03-01	33	False
2021-04-01	31	False
2021-05-01	42	False
2021-06-01	37	False
2021-07-01	33	False
2021-08-01	31	False
2021-09-01	41	False
2021-10-01	36	False
2021-11-01	31	False
2021-12-01	23	False
2022-01-01	24	False
2022-02-01	31	False
2022-03-01	27	False
2022-04-01	30	False
2022-05-01	36	False
2022-06-01	32	False
2022-07-01	33	False
2022-08-01	33	False
2022-09-01	41	False
2022-10-01	47	False
2022-11-01	41	False
2022-12-01	28	False
2023-01-01	35	False
2023-02-01	39	False
2023-03-01	30	False
2023-04-01	34	False
2023-05-01	31	False
2023-06-01	26	False
2023-07-01	30	False
2023-08-01	27	False
2023-09-01	34	False
2023-10-01	30	False
2023-11-01	41	True
