date	ourple	isPartial
2019-01-06	15	False
2019-01-13	17	False
2019-01-20	17	False
2019-01-27	20	False
2019-02-03	16	False
2019-02-10	16	False
2019-02-17	19	False
2019-02-24	21	False
2019-03-03	20	False
2019-03-10	18	False
2019-03-17	19	False
2019-03-24	18	False
2019-03-31	19	False
2019-04-07	22	False
2019-04-14	21	False
2019-04-21	23	False
2019-04-28	19	False
2019-05-05	20	False
2019-05-12	22	False
2019-05-19	19	False
2019-05-26	21	False
2019-06-02	23	False
2019-06-09	21	False
2019-06-16	21	False
2019-06-23	21	False
2019-06-30	19	False
2019-07-07	22	False
2019-07-14	20	False
2019-07-21	21	False
2019-07-28	23	False
2019-08-04	24	False
2019-08-11	19	False
2019-08-18	23	False
2019-08-25	20	False
2019-09-01	22	False
2019-09-08	24	False
2019-09-15	25	False
2019-09-22	22	False
2019-09-29	20	False
2019-10-06	25	False
2019-10-13	22	False
2019-10-20	23	False
2019-10-27	24	False
2019-11-03	19	False
2019-11-10	21	False
2019-11-17	24	False
2019-11-24	23	False
2019-12-01	19	False
2019-12-08	25	False
2019-12-15	20	False
2019-12-22	19	False
2019-12-29	21	False
2020-01-05	24	False
2020-01-12	23	False
2020-01-19	25	False
2020-01-26	21	False
2020-02-02	27	False
2020-02-09	23	False
2020-02-16	26	False
2020-02-23	26	False
2020-03-01	21	False
2020-03-08	24	False
2020-03-15	20	False
2020-03-22	27	False
2020-03-29	31	False
2020-04-05	38	False
2020-04-12	37	False
2020-04-19	35	False
2020-04-26	37	False
2020-05-03	31	False
2020-05-10	28	False
2020-05-17	29	False
2020-05-24	29	False
2020-05-31	31	False
2020-06-07	35	False
2020-06-14	31	False
2020-06-21	24	False
2020-06-28	29	False
2020-07-05	34	False
2020-07-12	28	False
2020-07-19	33	False
2020-07-26	29	False
2020-08-02	38	False
2020-08-09	28	False
2020-08-16	31	False
2020-08-23	32	False
2020-08-30	26	False
2020-09-06	28	False
2020-09-13	35	False
2020-09-20	40	False
2020-09-27	34	False
2020-10-04	33	False
2020-10-11	33	False
2020-10-18	29	False
2020-10-25	33	False
2020-11-01	28	False
2020-11-08	34	False
2020-11-15	36	False
2020-11-22	30	False
2020-11-29	37	False
2020-12-06	31	False
2020-12-13	30	False
2020-12-20	31	False
2020-12-27	29	False
2021-01-03	32	False
2021-01-10	32	False
2021-01-17	34	False
2021-01-24	30	False
2021-01-31	26	False
2021-02-07	30	False
2021-02-14	31	False
2021-02-21	29	False
2021-02-28	28	False
2021-03-07	36	False
2021-03-14	31	False
2021-03-21	40	False
2021-03-28	34	False
2021-04-04	28	False
2021-04-11	36	False
2021-04-18	33	False
2021-04-25	36	False
2021-05-02	0	False
2021-05-09	35	False
2021-05-16	35	False
2021-05-23	0	False
2021-05-30	31	False
2021-06-06	33	False
2021-06-13	0	False
2021-06-20	32	False
2021-06-27	31	False
2021-07-04	33	False
2021-07-11	36	False
2021-07-18	0	False
2021-07-25	0	False
2021-08-01	40	False
2021-08-08	31	False
2021-08-15	36	False
2021-08-22	36	False
2021-08-29	0	False
2021-09-05	0	False
2021-09-12	0	False
2021-09-19	36	False
2021-09-26	0	False
2021-10-03	0	False
2021-10-10	39	False
2021-10-17	0	False
2021-10-24	37	False
2021-10-31	0	False
2021-11-07	38	False
2021-11-14	37	False
2021-11-21	34	False
2021-11-28	33	False
2021-12-05	37	False
2021-12-12	0	False
2021-12-19	0	False
2021-12-26	34	False
2022-01-02	46	False
2022-01-09	49	False
2022-01-16	47	False
2022-01-23	47	False
2022-01-30	56	False
2022-02-06	48	False
2022-02-13	46	False
2022-02-20	49	False
2022-02-27	46	False
2022-03-06	46	False
2022-03-13	35	False
2022-03-20	43	False
2022-03-27	37	False
2022-04-03	0	False
2022-04-10	45	False
2022-04-17	43	False
2022-04-24	0	False
2022-05-01	0	False
2022-05-08	35	False
2022-05-15	0	False
2022-05-22	44	False
2022-05-29	0	False
2022-06-05	0	False
2022-06-12	34	False
2022-06-19	0	False
2022-06-26	39	False
2022-07-03	0	False
2022-07-10	51	False
2022-07-17	0	False
2022-07-24	51	False
2022-07-31	0	False
2022-08-07	0	False
2022-08-14	50	False
2022-08-21	46	False
2022-08-28	45	False
2022-09-04	0	False
2022-09-11	50	False
2022-09-18	52	False
2022-09-25	43	False
2022-10-02	43	False
2022-10-09	0	False
2022-10-16	36	False
2022-10-23	50	False
2022-10-30	42	False
2022-11-06	0	False
2022-11-13	45	False
2022-11-20	0	False
2022-11-27	44	False
2022-12-04	40	False
2022-12-11	47	False
2022-12-18	0	False
2022-12-25	51	False
2023-01-01	48	False
2023-01-08	47	False
2023-01-15	44	False
2023-01-22	0	False
2023-01-29	45	False
2023-02-05	54	False
2023-02-12	0	False
2023-02-19	53	False
2023-02-26	0	False
2023-03-05	0	False
2023-03-12	0	False
2023-03-19	43	False
2023-03-26	0	False
2023-04-02	53	False
2023-04-09	0	False
2023-04-16	51	False
2023-04-23	0	False
2023-04-30	0	False
2023-05-07	50	False
2023-05-14	0	False
2023-05-21	58	False
2023-05-28	0	False
2023-06-04	0	False
2023-06-11	53	False
2023-06-18	0	False
2023-06-25	49	False
2023-07-02	0	False
2023-07-09	55	False
2023-07-16	0	False
2023-07-23	0	False
2023-07-30	52	False
2023-08-06	57	False
2023-08-13	58	False
2023-08-20	51	False
2023-08-27	50	False
2023-09-03	52	False
2023-09-10	58	False
2023-09-17	49	False
2023-09-24	51	False
2023-10-01	59	False
2023-10-08	0	False
2023-10-15	0	False
2023-10-22	100	False
2023-10-29	0	False
