Month,kappa twitch: (United States)
2004-01,30
2004-02,66
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,23
2004-12,24
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,14
2005-10,0
2005-11,0
2005-12,0
2006-01,22
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,17
2006-11,0
2006-12,0
2007-01,0
2007-02,8
2007-03,29
2007-04,0
2007-05,22
2007-06,13
2007-07,6
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,6
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,17
2008-12,0
2009-01,0
2009-02,5
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,7
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,7
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,5
2011-03,3
2011-04,6
2011-05,0
2011-06,0
2011-07,3
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,4
2012-01,0
2012-02,3
2012-03,2
2012-04,3
2012-05,6
2012-06,0
2012-07,6
2012-08,7
2012-09,4
2012-10,4
2012-11,7
2012-12,7
2013-01,10
2013-02,8
2013-03,15
2013-04,16
2013-05,26
2013-06,31
2013-07,42
2013-08,53
2013-09,29
2013-10,35
2013-11,46
2013-12,42
2014-01,61
2014-02,53
2014-03,73
2014-04,67
2014-05,76
2014-06,94
2014-07,100
2014-08,100
2014-09,88
2014-10,71
2014-11,62
2014-12,57
2015-01,84
2015-02,85
2015-03,91
2015-04,91
2015-05,65
2015-06,83
2015-07,78
2015-08,80
2015-09,66
2015-10,56
2015-11,47
2015-12,50
2016-01,51
2016-02,49
2016-03,38
2016-04,45
2016-05,44
2016-06,45
2016-07,54
2016-08,50
2016-09,42
2016-10,44
2016-11,37
2016-12,34
2017-01,39
2017-02,31
2017-03,34
2017-04,28
2017-05,27
2017-06,20
2017-07,27
2017-08,21
2017-09,19
2017-10,24
2017-11,15
2017-12,20
2018-01,27
2018-02,25
2018-03,29
2018-04,28
2018-05,26
2018-06,23
2018-07,25
2018-08,21
2018-09,20
2018-10,18
2018-11,14
2018-12,17
2019-01,18
2019-02,23
2019-03,15
2019-04,17
2019-05,15
2019-06,15
2019-07,16
2019-08,19
2019-09,16
2019-10,13
2019-11,17
2019-12,13
2020-01,14
2020-02,15
2020-03,14
2020-04,24
2020-05,29
2020-06,21
2020-07,22
2020-08,21
2020-09,14
2020-10,32
2020-11,23
2020-12,16
2021-01,19
2021-02,11
2021-03,10
2021-04,11
2021-05,11
2021-06,9
2021-07,11
2021-08,4
2021-09,7
2021-10,21
2021-11,6
2021-12,9
2022-01,13
2022-02,11
2022-03,12
2022-04,9
2022-05,10
2022-06,7
2022-07,10
2022-08,12
2022-09,6
2022-10,8
2022-11,10
2022-12,8
2023-01,5
2023-02,7
2023-03,7
2023-04,9
2023-05,12
2023-06,9
2023-07,9
2023-08,17
2023-09,12
2023-10,16
