Month,monkas: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,17
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,14
2005-03,0
2005-04,0
2005-05,0
2005-06,7
2005-07,0
2005-08,0
2005-09,0
2005-10,10
2005-11,0
2005-12,0
2006-01,6
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,4
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,3
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,8
2007-08,0
2007-09,0
2007-10,3
2007-11,2
2007-12,2
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,3
2008-08,0
2008-09,4
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,4
2009-06,0
2009-07,3
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,9
2010-03,1
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,1
2011-01,1
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,2
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,2
2012-09,0
2012-10,1
2012-11,1
2012-12,0
2013-01,1
2013-02,1
2013-03,1
2013-04,0
2013-05,0
2013-06,0
2013-07,1
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,1
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,1
2015-09,1
2015-10,0
2015-11,0
2015-12,1
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,1
2016-06,0
2016-07,1
2016-08,2
2016-09,0
2016-10,0
2016-11,1
2016-12,1
2017-01,4
2017-02,7
2017-03,16
2017-04,34
2017-05,30
2017-06,38
2017-07,49
2017-08,56
2017-09,72
2017-10,74
2017-11,69
2017-12,68
2018-01,100
2018-02,89
2018-03,78
2018-04,81
2018-05,79
2018-06,84
2018-07,86
2018-08,84
2018-09,64
2018-10,61
2018-11,54
2018-12,49
2019-01,55
2019-02,52
2019-03,57
2019-04,51
2019-05,45
2019-06,49
2019-07,42
2019-08,37
2019-09,31
2019-10,31
2019-11,29
2019-12,31
2020-01,31
2020-02,33
2020-03,39
2020-04,42
2020-05,45
2020-06,42
2020-07,42
2020-08,43
2020-09,46
2020-10,42
2020-11,36
2020-12,37
2021-01,39
2021-02,31
2021-03,34
2021-04,31
2021-05,28
2021-06,25
2021-07,22
2021-08,21
2021-09,19
2021-10,16
2021-11,14
2021-12,17
2022-01,20
2022-02,20
2022-03,16
2022-04,16
2022-05,18
2022-06,19
2022-07,18
2022-08,15
2022-09,14
2022-10,13
2022-11,13
2022-12,11
2023-01,12
2023-02,12
2023-03,12
2023-04,10
2023-05,9
2023-06,8
2023-07,7
2023-08,6
2023-09,7
2023-10,7
