Month,office space meme: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,81
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,25
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,11
2006-03,14
2006-04,15
2006-05,0
2006-06,24
2006-07,0
2006-08,0
2006-09,0
2006-10,11
2006-11,0
2006-12,16
2007-01,0
2007-02,0
2007-03,0
2007-04,13
2007-05,7
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,5
2008-01,9
2008-02,0
2008-03,0
2008-04,0
2008-05,9
2008-06,8
2008-07,0
2008-08,10
2008-09,0
2008-10,0
2008-11,0
2008-12,4
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,9
2009-07,5
2009-08,0
2009-09,0
2009-10,4
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,2
2012-01,6
2012-02,2
2012-03,4
2012-04,2
2012-05,2
2012-06,7
2012-07,4
2012-08,3
2012-09,6
2012-10,7
2012-11,6
2012-12,11
2013-01,12
2013-02,25
2013-03,25
2013-04,27
2013-05,26
2013-06,29
2013-07,36
2013-08,37
2013-09,31
2013-10,35
2013-11,27
2013-12,23
2014-01,25
2014-02,32
2014-03,36
2014-04,36
2014-05,36
2014-06,35
2014-07,38
2014-08,36
2014-09,46
2014-10,52
2014-11,40
2014-12,52
2015-01,51
2015-02,58
2015-03,65
2015-04,54
2015-05,70
2015-06,67
2015-07,72
2015-08,73
2015-09,76
2015-10,84
2015-11,76
2015-12,67
2016-01,69
2016-02,88
2016-03,75
2016-04,92
2016-05,100
2016-06,86
2016-07,86
2016-08,98
2016-09,100
2016-10,89
2016-11,74
2016-12,91
2017-01,93
2017-02,86
2017-03,96
2017-04,87
2017-05,95
2017-06,88
2017-07,89
2017-08,85
2017-09,93
2017-10,90
2017-11,77
2017-12,63
2018-01,60
2018-02,78
2018-03,75
2018-04,66
2018-05,79
2018-06,69
2018-07,62
2018-08,73
2018-09,72
2018-10,64
2018-11,61
2018-12,52
2019-01,53
2019-02,64
2019-03,61
2019-04,59
2019-05,59
2019-06,52
2019-07,44
2019-08,53
2019-09,46
2019-10,50
2019-11,49
2019-12,40
2020-01,45
2020-02,47
2020-03,49
2020-04,48
2020-05,33
2020-06,38
2020-07,32
2020-08,31
2020-09,35
2020-10,34
2020-11,24
2020-12,33
2021-01,30
2021-02,32
2021-03,32
2021-04,27
2021-05,28
2021-06,29
2021-07,28
2021-08,26
2021-09,29
2021-10,32
2021-11,22
2021-12,24
2022-01,32
2022-02,28
2022-03,32
2022-04,34
2022-05,31
2022-06,32
2022-07,31
2022-08,29
2022-09,30
2022-10,30
2022-11,34
2022-12,27
2023-01,27
2023-02,32
2023-03,29
2023-04,29
2023-05,32
2023-06,33
2023-07,26
2023-08,34
2023-09,31
2023-10,30
