Month,okay guy: (United States)
2004-01,32
2004-02,0
2004-03,22
2004-04,0
2004-05,0
2004-06,0
2004-07,13
2004-08,18
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,11
2005-06,0
2005-07,0
2005-08,7
2005-09,0
2005-10,10
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,10
2006-04,0
2006-05,4
2006-06,8
2006-07,0
2006-08,0
2006-09,4
2006-10,0
2006-11,0
2006-12,0
2007-01,4
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,3
2007-07,0
2007-08,0
2007-09,0
2007-10,3
2007-11,2
2007-12,6
2008-01,0
2008-02,4
2008-03,2
2008-04,3
2008-05,4
2008-06,6
2008-07,4
2008-08,4
2008-09,2
2008-10,7
2008-11,9
2008-12,4
2009-01,8
2009-02,8
2009-03,13
2009-04,7
2009-05,14
2009-06,9
2009-07,5
2009-08,11
2009-09,9
2009-10,7
2009-11,9
2009-12,13
2010-01,10
2010-02,15
2010-03,9
2010-04,9
2010-05,9
2010-06,15
2010-07,18
2010-08,11
2010-09,19
2010-10,30
2010-11,20
2010-12,25
2011-01,30
2011-02,34
2011-03,25
2011-04,35
2011-05,35
2011-06,35
2011-07,40
2011-08,32
2011-09,38
2011-10,37
2011-11,44
2011-12,46
2012-01,43
2012-02,53
2012-03,46
2012-04,42
2012-05,44
2012-06,36
2012-07,42
2012-08,40
2012-09,40
2012-10,32
2012-11,34
2012-12,36
2013-01,36
2013-02,38
2013-03,35
2013-04,33
2013-05,33
2013-06,26
2013-07,32
2013-08,33
2013-09,28
2013-10,32
2013-11,34
2013-12,31
2014-01,29
2014-02,35
2014-03,33
2014-04,27
2014-05,34
2014-06,41
2014-07,38
2014-08,34
2014-09,38
2014-10,47
2014-11,40
2014-12,51
2015-01,45
2015-02,53
2015-03,100
2015-04,95
2015-05,75
2015-06,64
2015-07,71
2015-08,66
2015-09,54
2015-10,59
2015-11,59
2015-12,66
2016-01,45
2016-02,35
2016-03,37
2016-04,42
2016-05,40
2016-06,43
2016-07,32
2016-08,31
2016-09,32
2016-10,36
2016-11,38
2016-12,37
2017-01,37
2017-02,40
2017-03,38
2017-04,40
2017-05,39
2017-06,36
2017-07,34
2017-08,34
2017-09,30
2017-10,31
2017-11,33
2017-12,33
2018-01,28
2018-02,35
2018-03,28
2018-04,29
2018-05,37
2018-06,26
2018-07,31
2018-08,29
2018-09,27
2018-10,30
2018-11,26
2018-12,30
2019-01,28
2019-02,31
2019-03,26
2019-04,24
2019-05,23
2019-06,23
2019-07,20
2019-08,28
2019-09,21
2019-10,22
2019-11,24
2019-12,24
2020-01,25
2020-02,26
2020-03,27
2020-04,25
2020-05,27
2020-06,26
2020-07,28
2020-08,27
2020-09,28
2020-10,25
2020-11,22
2020-12,24
2021-01,24
2021-02,27
2021-03,25
2021-04,22
2021-05,25
2021-06,28
2021-07,29
2021-08,28
2021-09,26
2021-10,26
2021-11,24
2021-12,29
2022-01,31
2022-02,30
2022-03,30
2022-04,31
2022-05,33
2022-06,34
2022-07,35
2022-08,28
2022-09,31
2022-10,30
2022-11,28
2022-12,27
2023-01,32
2023-02,29
2023-03,29
2023-04,26
2023-05,30
2023-06,30
2023-07,30
2023-08,29
2023-09,30
2023-10,29
