Month,pepe hands: (United States)
2006-10,36
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,24
2007-08,28
2007-09,0
2007-10,0
2007-11,26
2007-12,41
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,24
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,36
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,33
2009-08,0
2009-09,0
2009-10,28
2009-11,0
2009-12,38
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,47
2010-06,0
2010-07,15
2010-08,0
2010-09,26
2010-10,43
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,18
2011-05,0
2011-06,11
2011-07,0
2011-08,21
2011-09,0
2011-10,0
2011-11,23
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,18
2012-06,8
2012-07,0
2012-08,0
2012-09,8
2012-10,0
2012-11,0
2012-12,8
2013-01,0
2013-02,6
2013-03,10
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,8
2013-09,13
2013-10,0
2013-11,8
2013-12,0
2014-01,17
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,10
2014-07,0
2014-08,8
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,6
2015-02,0
2015-03,0
2015-04,9
2015-05,38
2015-06,33
2015-07,0
2015-08,15
2015-09,14
2015-10,28
2015-11,16
2015-12,21
2016-01,15
2016-02,8
2016-03,16
2016-04,11
2016-05,8
2016-06,10
2016-07,19
2016-08,0
2016-09,24
2016-10,7
2016-11,17
2016-12,9
2017-01,0
2017-02,16
2017-03,0
2017-04,21
2017-05,0
2017-06,8
2017-07,0
2017-08,5
2017-09,8
2017-10,11
2017-11,25
2017-12,17
2018-01,25
2018-02,13
2018-03,32
2018-04,39
2018-05,39
2018-06,74
2018-07,86
2018-08,78
2018-09,65
2018-10,62
2018-11,66
2018-12,66
2019-01,65
2019-02,62
2019-03,100
2019-04,60
2019-05,57
2019-06,53
2019-07,47
2019-08,64
2019-09,57
2019-10,64
2019-11,53
2019-12,47
2020-01,44
2020-02,47
2020-03,50
2020-04,59
2020-05,49
2020-06,55
2020-07,62
2020-08,50
2020-09,75
2020-10,38
2020-11,36
2020-12,42
2021-01,42
2021-02,47
2021-03,48
2021-04,30
2021-05,30
2021-06,34
2021-07,19
2021-08,28
2021-09,25
2021-10,32
2021-11,22
2021-12,22
2022-01,30
2022-02,27
2022-03,36
2022-04,18
2022-05,31
2022-06,45
2022-07,11
2022-08,15
2022-09,26
2022-10,27
2022-11,20
2022-12,28
2023-01,27
2023-02,7
2023-03,18
2023-04,23
2023-05,24
2023-06,17
2023-07,18
2023-08,8
2023-09,15
2023-10,10
