Month,sad frog: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,13
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,9
2006-01,0
2006-02,0
2006-03,0
2006-04,7
2006-05,0
2006-06,12
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,4
2006-12,7
2007-01,7
2007-02,0
2007-03,0
2007-04,8
2007-05,3
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,5
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,3
2008-04,0
2008-05,4
2008-06,3
2008-07,2
2008-08,0
2008-09,4
2008-10,0
2008-11,3
2008-12,0
2009-01,0
2009-02,3
2009-03,2
2009-04,0
2009-05,2
2009-06,4
2009-07,0
2009-08,0
2009-09,6
2009-10,0
2009-11,0
2009-12,3
2010-01,2
2010-02,4
2010-03,0
2010-04,2
2010-05,3
2010-06,3
2010-07,1
2010-08,5
2010-09,9
2010-10,3
2010-11,0
2010-12,2
2011-01,6
2011-02,6
2011-03,7
2011-04,4
2011-05,6
2011-06,7
2011-07,3
2011-08,7
2011-09,5
2011-10,6
2011-11,5
2011-12,5
2012-01,6
2012-02,7
2012-03,6
2012-04,5
2012-05,7
2012-06,5
2012-07,4
2012-08,5
2012-09,3
2012-10,5
2012-11,5
2012-12,6
2013-01,5
2013-02,5
2013-03,6
2013-04,6
2013-05,4
2013-06,5
2013-07,4
2013-08,5
2013-09,3
2013-10,5
2013-11,5
2013-12,5
2014-01,4
2014-02,7
2014-03,5
2014-04,5
2014-05,8
2014-06,10
2014-07,12
2014-08,11
2014-09,24
2014-10,29
2014-11,33
2014-12,54
2015-01,48
2015-02,55
2015-03,67
2015-04,100
2015-05,81
2015-06,50
2015-07,47
2015-08,51
2015-09,43
2015-10,48
2015-11,48
2015-12,33
2016-01,28
2016-02,28
2016-03,27
2016-04,26
2016-05,25
2016-06,21
2016-07,16
2016-08,17
2016-09,23
2016-10,22
2016-11,17
2016-12,15
2017-01,14
2017-02,13
2017-03,13
2017-04,13
2017-05,13
2017-06,10
2017-07,8
2017-08,10
2017-09,12
2017-10,10
2017-11,13
2017-12,9
2018-01,12
2018-02,14
2018-03,13
2018-04,14
2018-05,13
2018-06,11
2018-07,12
2018-08,9
2018-09,12
2018-10,16
2018-11,12
2018-12,19
2019-01,11
2019-02,12
2019-03,16
2019-04,11
2019-05,17
2019-06,13
2019-07,10
2019-08,12
2019-09,15
2019-10,13
2019-11,18
2019-12,13
2020-01,11
2020-02,15
2020-03,12
2020-04,12
2020-05,12
2020-06,10
2020-07,13
2020-08,12
2020-09,16
2020-10,12
2020-11,10
2020-12,10
2021-01,12
2021-02,13
2021-03,11
2021-04,9
2021-05,11
2021-06,9
2021-07,9
2021-08,9
2021-09,9
2021-10,10
2021-11,8
2021-12,8
2022-01,10
2022-02,9
2022-03,11
2022-04,11
2022-05,13
2022-06,12
2022-07,11
2022-08,8
2022-09,11
2022-10,10
2022-11,10
2022-12,9
2023-01,13
2023-02,10
2023-03,13
2023-04,10
2023-05,13
2023-06,8
2023-07,8
2023-08,12
2023-09,13
2023-10,18
