Month,salt bae: (United States)
2004-10,1
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,2
2005-07,0
2005-08,0
2005-09,0
2005-10,1
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,<1
2006-06,0
2006-07,<1
2006-08,0
2006-09,1
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,1
2007-07,0
2007-08,0
2007-09,<1
2007-10,0
2007-11,0
2007-12,1
2008-01,0
2008-02,<1
2008-03,<1
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,1
2008-12,<1
2009-01,<1
2009-02,0
2009-03,1
2009-04,0
2009-05,0
2009-06,0
2009-07,1
2009-08,0
2009-09,<1
2009-10,<1
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,<1
2010-05,<1
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,<1
2011-01,<1
2011-02,0
2011-03,0
2011-04,0
2011-05,<1
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,0
2012-03,0
2012-04,<1
2012-05,0
2012-06,0
2012-07,<1
2012-08,0
2012-09,0
2012-10,0
2012-11,<1
2012-12,<1
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,<1
2013-06,<1
2013-07,0
2013-08,<1
2013-09,<1
2013-10,<1
2013-11,0
2013-12,<1
2014-01,<1
2014-02,0
2014-03,<1
2014-04,0
2014-05,<1
2014-06,0
2014-07,<1
2014-08,<1
2014-09,0
2014-10,<1
2014-11,<1
2014-12,0
2015-01,<1
2015-02,<1
2015-03,<1
2015-04,<1
2015-05,<1
2015-06,<1
2015-07,<1
2015-08,<1
2015-09,<1
2015-10,<1
2015-11,<1
2015-12,<1
2016-01,<1
2016-02,0
2016-03,0
2016-04,0
2016-05,<1
2016-06,<1
2016-07,<1
2016-08,0
2016-09,0
2016-10,<1
2016-11,0
2016-12,0
2017-01,100
2017-02,83
2017-03,34
2017-04,25
2017-05,19
2017-06,15
2017-07,14
2017-08,9
2017-09,11
2017-10,21
2017-11,16
2017-12,24
2018-01,36
2018-02,35
2018-03,22
2018-04,19
2018-05,17
2018-06,16
2018-07,19
2018-08,12
2018-09,33
2018-10,20
2018-11,19
2018-12,15
2019-01,19
2019-02,17
2019-03,14
2019-04,13
2019-05,13
2019-06,14
2019-07,16
2019-08,17
2019-09,12
2019-10,14
2019-11,14
2019-12,14
2020-01,17
2020-02,15
2020-03,16
2020-04,10
2020-05,8
2020-06,11
2020-07,11
2020-08,8
2020-09,26
2020-10,15
2020-11,11
2020-12,14
2021-01,15
2021-02,17
2021-03,36
2021-04,23
2021-05,24
2021-06,20
2021-07,23
2021-08,17
2021-09,16
2021-10,25
2021-11,22
2021-12,17
2022-01,15
2022-02,15
2022-03,21
2022-04,17
2022-05,13
2022-06,13
2022-07,15
2022-08,12
2022-09,10
2022-10,12
