Month,shaggy power: (United States)
2004-01,43
2004-02,0
2004-03,0
2004-04,18
2004-05,26
2004-06,33
2004-07,0
2004-08,0
2004-09,23
2004-10,0
2004-11,0
2004-12,13
2005-01,18
2005-02,0
2005-03,10
2005-04,0
2005-05,0
2005-06,13
2005-07,0
2005-08,0
2005-09,16
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,20
2006-03,0
2006-04,0
2006-05,0
2006-06,6
2006-07,0
2006-08,0
2006-09,0
2006-10,10
2006-11,0
2006-12,15
2007-01,0
2007-02,0
2007-03,0
2007-04,9
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,9
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,4
2009-03,0
2009-04,0
2009-05,8
2009-06,3
2009-07,0
2009-08,4
2009-09,3
2009-10,3
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,4
2010-04,3
2010-05,7
2010-06,0
2010-07,4
2010-08,0
2010-09,4
2010-10,0
2010-11,0
2010-12,3
2011-01,4
2011-02,0
2011-03,0
2011-04,2
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,2
2011-10,0
2011-11,3
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,2
2012-06,0
2012-07,2
2012-08,0
2012-09,1
2012-10,0
2012-11,2
2012-12,2
2013-01,3
2013-02,0
2013-03,2
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,2
2013-09,3
2013-10,0
2013-11,0
2013-12,1
2014-01,2
2014-02,0
2014-03,1
2014-04,0
2014-05,0
2014-06,3
2014-07,0
2014-08,5
2014-09,4
2014-10,0
2014-11,0
2014-12,0
2015-01,2
2015-02,2
2015-03,2
2015-04,0
2015-05,4
2015-06,2
2015-07,0
2015-08,1
2015-09,3
2015-10,1
2015-11,0
2015-12,2
2016-01,3
2016-02,1
2016-03,1
2016-04,3
2016-05,2
2016-06,1
2016-07,2
2016-08,1
2016-09,1
2016-10,4
2016-11,1
2016-12,0
2017-01,0
2017-02,3
2017-03,0
2017-04,0
2017-05,2
2017-06,0
2017-07,1
2017-08,2
2017-09,3
2017-10,5
2017-11,5
2017-12,2
2018-01,2
2018-02,1
2018-03,3
2018-04,3
2018-05,1
2018-06,1
2018-07,1
2018-08,2
2018-09,2
2018-10,2
2018-11,2
2018-12,0
2019-01,100
2019-02,100
2019-03,32
2019-04,17
2019-05,11
2019-06,5
2019-07,7
2019-08,6
2019-09,7
2019-10,8
2019-11,9
2019-12,4
2020-01,7
2020-02,10
2020-03,5
2020-04,6
2020-05,7
2020-06,6
2020-07,7
2020-08,7
2020-09,8
2020-10,10
2020-11,5
2020-12,7
2021-01,9
2021-02,7
2021-03,6
2021-04,5
2021-05,16
2021-06,26
2021-07,18
2021-08,11
2021-09,11
2021-10,10
2021-11,13
2021-12,8
2022-01,6
2022-02,6
2022-03,6
2022-04,7
2022-05,14
2022-06,8
2022-07,12
2022-08,10
2022-09,9
2022-10,10
2022-11,8
2022-12,6
2023-01,8
2023-02,7
2023-03,7
2023-04,4
2023-05,4
2023-06,4
2023-07,4
2023-08,5
2023-09,5
2023-10,5
