date	sussy baka	isPartial
2019-01-06	0	False
2019-01-13	0	False
2019-01-20	0	False
2019-01-27	1	False
2019-02-03	0	False
2019-02-10	0	False
2019-02-17	0	False
2019-02-24	1	False
2019-03-03	0	False
2019-03-10	0	False
2019-03-17	0	False
2019-03-24	0	False
2019-03-31	0	False
2019-04-07	0	False
2019-04-14	0	False
2019-04-21	0	False
2019-04-28	0	False
2019-05-05	0	False
2019-05-12	0	False
2019-05-19	0	False
2019-05-26	0	False
2019-06-02	0	False
2019-06-09	0	False
2019-06-16	0	False
2019-06-23	0	False
2019-06-30	0	False
2019-07-07	0	False
2019-07-14	0	False
2019-07-21	0	False
2019-07-28	0	False
2019-08-04	0	False
2019-08-11	0	False
2019-08-18	0	False
2019-08-25	0	False
2019-09-01	0	False
2019-09-08	0	False
2019-09-15	0	False
2019-09-22	1	False
2019-09-29	0	False
2019-10-06	0	False
2019-10-13	0	False
2019-10-20	0	False
2019-10-27	0	False
2019-11-03	0	False
2019-11-10	0	False
2019-11-17	0	False
2019-11-24	0	False
2019-12-01	0	False
2019-12-08	0	False
2019-12-15	0	False
2019-12-22	0	False
2019-12-29	1	False
2020-01-05	0	False
2020-01-12	0	False
2020-01-19	0	False
2020-01-26	0	False
2020-02-02	0	False
2020-02-09	0	False
2020-02-16	1	False
2020-02-23	0	False
2020-03-01	0	False
2020-03-08	0	False
2020-03-15	0	False
2020-03-22	0	False
2020-03-29	0	False
2020-04-05	0	False
2020-04-12	0	False
2020-04-19	0	False
2020-04-26	1	False
2020-05-03	0	False
2020-05-10	0	False
2020-05-17	0	False
2020-05-24	0	False
2020-05-31	0	False
2020-06-07	0	False
2020-06-14	0	False
2020-06-21	0	False
2020-06-28	0	False
2020-07-05	0	False
2020-07-12	0	False
2020-07-19	0	False
2020-07-26	0	False
2020-08-02	0	False
2020-08-09	0	False
2020-08-16	0	False
2020-08-23	0	False
2020-08-30	0	False
2020-09-06	0	False
2020-09-13	0	False
2020-09-20	0	False
2020-09-27	0	False
2020-10-04	0	False
2020-10-11	0	False
2020-10-18	1	False
2020-10-25	0	False
2020-11-01	0	False
2020-11-08	0	False
2020-11-15	0	False
2020-11-22	0	False
2020-11-29	0	False
2020-12-06	0	False
2020-12-13	0	False
2020-12-20	0	False
2020-12-27	1	False
2021-01-03	0	False
2021-01-10	0	False
2021-01-17	0	False
2021-01-24	0	False
2021-01-31	0	False
2021-02-07	0	False
2021-02-14	0	False
2021-02-21	0	False
2021-02-28	0	False
2021-03-07	0	False
2021-03-14	0	False
2021-03-21	2	False
2021-03-28	2	False
2021-04-04	3	False
2021-04-11	5	False
2021-04-18	18	False
2021-04-25	40	False
2021-05-02	48	False
2021-05-09	51	False
2021-05-16	77	False
2021-05-23	93	False
2021-05-30	90	False
2021-06-06	90	False
2021-06-13	100	False
2021-06-20	97	False
2021-06-27	95	False
2021-07-04	72	False
2021-07-11	83	False
2021-07-18	84	False
2021-07-25	98	False
2021-08-01	79	False
2021-08-08	83	False
2021-08-15	86	False
2021-08-22	90	False
2021-08-29	86	False
2021-09-05	85	False
2021-09-12	91	False
2021-09-19	86	False
2021-09-26	85	False
2021-10-03	83	False
2021-10-10	62	False
2021-10-17	67	False
2021-10-24	61	False
2021-10-31	64	False
2021-11-07	60	False
2021-11-14	62	False
2021-11-21	54	False
2021-11-28	55	False
2021-12-05	58	False
2021-12-12	53	False
2021-12-19	51	False
2021-12-26	44	False
2022-01-02	50	False
2022-01-09	42	False
2022-01-16	51	False
2022-01-23	49	False
2022-01-30	45	False
2022-02-06	46	False
2022-02-13	47	False
2022-02-20	45	False
2022-02-27	54	False
2022-03-06	43	False
2022-03-13	45	False
2022-03-20	46	False
2022-03-27	57	False
2022-04-03	60	False
2022-04-10	53	False
2022-04-17	57	False
2022-04-24	53	False
2022-05-01	50	False
2022-05-08	46	False
2022-05-15	49	False
2022-05-22	46	False
2022-05-29	45	False
2022-06-05	45	False
2022-06-12	40	False
2022-06-19	37	False
2022-06-26	30	False
2022-07-03	30	False
2022-07-10	29	False
2022-07-17	32	False
2022-07-24	27	False
2022-07-31	23	False
2022-08-07	25	False
2022-08-14	31	False
2022-08-21	28	False
2022-08-28	28	False
2022-09-04	27	False
2022-09-11	27	False
2022-09-18	31	False
2022-09-25	32	False
2022-10-02	29	False
2022-10-09	38	False
2022-10-16	30	False
2022-10-23	32	False
2022-10-30	29	False
2022-11-06	29	False
2022-11-13	33	False
2022-11-20	25	False
2022-11-27	25	False
2022-12-04	31	False
2022-12-11	28	False
2022-12-18	26	False
2022-12-25	19	False
2023-01-01	20	False
2023-01-08	21	False
2023-01-15	24	False
2023-01-22	23	False
2023-01-29	22	False
2023-02-05	20	False
2023-02-12	21	False
2023-02-19	20	False
2023-02-26	23	False
2023-03-05	25	False
2023-03-12	21	False
2023-03-19	22	False
2023-03-26	22	False
2023-04-02	18	False
2023-04-09	21	False
2023-04-16	21	False
2023-04-23	19	False
2023-04-30	17	False
2023-05-07	18	False
2023-05-14	19	False
2023-05-21	19	False
2023-05-28	15	False
2023-06-04	15	False
2023-06-11	14	False
2023-06-18	12	False
2023-06-25	15	False
2023-07-02	23	False
2023-07-09	19	False
2023-07-16	14	False
2023-07-23	14	False
2023-07-30	12	False
2023-08-06	11	False
2023-08-13	12	False
2023-08-20	11	False
2023-08-27	13	False
2023-09-03	16	False
2023-09-10	13	False
2023-09-17	15	False
2023-09-24	15	False
2023-10-01	14	False
2023-10-08	12	False
2023-10-15	14	False
2023-10-22	14	False
2023-10-29	15	False
