Month,this is fine: (United States)
2004-01,0
2004-02,7
2004-03,0
2004-04,0
2004-05,11
2004-06,0
2004-07,0
2004-08,13
2004-09,4
2004-10,0
2004-11,6
2004-12,5
2005-01,3
2005-02,4
2005-03,0
2005-04,6
2005-05,5
2005-06,9
2005-07,6
2005-08,4
2005-09,5
2005-10,10
2005-11,7
2005-12,7
2006-01,7
2006-02,9
2006-03,3
2006-04,10
2006-05,11
2006-06,7
2006-07,6
2006-08,4
2006-09,8
2006-10,7
2006-11,5
2006-12,6
2007-01,5
2007-02,9
2007-03,5
2007-04,10
2007-05,5
2007-06,10
2007-07,7
2007-08,7
2007-09,5
2007-10,9
2007-11,7
2007-12,6
2008-01,7
2008-02,10
2008-03,6
2008-04,8
2008-05,5
2008-06,7
2008-07,8
2008-08,5
2008-09,7
2008-10,6
2008-11,7
2008-12,4
2009-01,3
2009-02,7
2009-03,7
2009-04,10
2009-05,9
2009-06,5
2009-07,7
2009-08,8
2009-09,7
2009-10,6
2009-11,8
2009-12,7
2010-01,6
2010-02,10
2010-03,5
2010-04,8
2010-05,8
2010-06,8
2010-07,7
2010-08,7
2010-09,8
2010-10,6
2010-11,7
2010-12,6
2011-01,8
2011-02,7
2011-03,7
2011-04,9
2011-05,9
2011-06,7
2011-07,6
2011-08,9
2011-09,8
2011-10,10
2011-11,7
2011-12,8
2012-01,6
2012-02,8
2012-03,9
2012-04,8
2012-05,10
2012-06,8
2012-07,8
2012-08,6
2012-09,8
2012-10,8
2012-11,8
2012-12,8
2013-01,7
2013-02,7
2013-03,10
2013-04,10
2013-05,10
2013-06,8
2013-07,8
2013-08,7
2013-09,10
2013-10,9
2013-11,8
2013-12,8
2014-01,8
2014-02,9
2014-03,10
2014-04,10
2014-05,9
2014-06,8
2014-07,9
2014-08,9
2014-09,17
2014-10,21
2014-11,20
2014-12,23
2015-01,19
2015-02,22
2015-03,22
2015-04,25
2015-05,29
2015-06,25
2015-07,28
2015-08,28
2015-09,35
2015-10,40
2015-11,39
2015-12,37
2016-01,35
2016-02,41
2016-03,45
2016-04,50
2016-05,50
2016-06,45
2016-07,46
2016-08,73
2016-09,63
2016-10,62
2016-11,80
2016-12,73
2017-01,64
2017-02,60
2017-03,63
2017-04,54
2017-05,54
2017-06,49
2017-07,49
2017-08,53
2017-09,64
2017-10,64
2017-11,55
2017-12,50
2018-01,46
2018-02,55
2018-03,54
2018-04,50
2018-05,50
2018-06,49
2018-07,52
2018-08,52
2018-09,55
2018-10,64
2018-11,63
2018-12,56
2019-01,47
2019-02,59
2019-03,52
2019-04,60
2019-05,59
2019-06,59
2019-07,50
2019-08,53
2019-09,66
2019-10,66
2019-11,59
2019-12,53
2020-01,53
2020-02,64
2020-03,100
2020-04,87
2020-05,63
2020-06,56
2020-07,64
2020-08,62
2020-09,92
2020-10,84
2020-11,79
2020-12,58
2021-01,56
2021-02,63
2021-03,55
2021-04,49
2021-05,49
2021-06,45
2021-07,43
2021-08,46
2021-09,55
2021-10,55
2021-11,50
2021-12,48
2022-01,61
2022-02,71
2022-03,68
2022-04,76
2022-05,70
2022-06,61
2022-07,56
2022-08,56
2022-09,73
2022-10,73
2022-11,65
2022-12,57
2023-01,68
2023-02,73
2023-03,74
2023-04,72
2023-05,65
2023-06,64
2023-07,50
2023-08,56
2023-09,72
2023-10,76
