Month,trollface: (United States)
2004-01,0
2004-02,0
2004-03,6
2004-04,0
2004-05,0
2004-06,4
2004-07,0
2004-08,0
2004-09,0
2004-10,4
2004-11,0
2004-12,0
2005-01,3
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,1
2007-01,2
2007-02,0
2007-03,2
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,1
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,2
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,1
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,1
2009-05,1
2009-06,2
2009-07,3
2009-08,5
2009-09,3
2009-10,4
2009-11,5
2009-12,9
2010-01,11
2010-02,12
2010-03,14
2010-04,20
2010-05,19
2010-06,26
2010-07,23
2010-08,24
2010-09,29
2010-10,44
2010-11,48
2010-12,63
2011-01,57
2011-02,69
2011-03,74
2011-04,99
2011-05,78
2011-06,75
2011-07,80
2011-08,74
2011-09,77
2011-10,92
2011-11,91
2011-12,93
2012-01,100
2012-02,97
2012-03,93
2012-04,86
2012-05,72
2012-06,65
2012-07,57
2012-08,54
2012-09,52
2012-10,49
2012-11,54
2012-12,55
2013-01,44
2013-02,42
2013-03,36
2013-04,35
2013-05,31
2013-06,28
2013-07,30
2013-08,27
2013-09,25
2013-10,23
2013-11,27
2013-12,22
2014-01,21
2014-02,20
2014-03,22
2014-04,22
2014-05,24
2014-06,22
2014-07,18
2014-08,18
2014-09,21
2014-10,22
2014-11,24
2014-12,24
2015-01,22
2015-02,24
2015-03,29
2015-04,49
2015-05,36
2015-06,39
2015-07,35
2015-08,26
2015-09,35
2015-10,70
2015-11,38
2015-12,46
2016-01,38
2016-02,62
2016-03,37
2016-04,35
2016-05,39
2016-06,78
2016-07,57
2016-08,42
2016-09,61
2016-10,56
2016-11,58
2016-12,42
2017-01,34
2017-02,32
2017-03,56
2017-04,43
2017-05,32
2017-06,24
2017-07,19
2017-08,17
2017-09,16
2017-10,26
2017-11,22
2017-12,18
2018-01,15
2018-02,18
2018-03,26
2018-04,16
2018-05,16
2018-06,13
2018-07,11
2018-08,8
2018-09,9
2018-10,12
2018-11,12
2018-12,11
2019-01,12
2019-02,13
2019-03,9
2019-04,12
2019-05,11
2019-06,10
2019-07,7
2019-08,6
2019-09,7
2019-10,9
2019-11,10
2019-12,8
2020-01,8
2020-02,9
2020-03,10
2020-04,8
2020-05,9
2020-06,7
2020-07,7
2020-08,9
2020-09,10
2020-10,7
2020-11,10
2020-12,14
2021-01,17
2021-02,19
2021-03,23
2021-04,24
2021-05,22
2021-06,28
2021-07,25
2021-08,18
2021-09,20
2021-10,18
2021-11,17
2021-12,16
2022-01,20
2022-02,23
2022-03,24
2022-04,24
2022-05,19
2022-06,18
2022-07,16
2022-08,15
2022-09,17
2022-10,19
2022-11,18
2022-12,17
2023-01,19
2023-02,16
2023-03,19
2023-04,18
2023-05,16
2023-06,13
2023-07,11
2023-08,12
2023-09,14
2023-10,10
