Month,u mad: (United States)
2004-01,0
2004-02,0
2004-03,3
2004-04,5
2004-05,3
2004-06,2
2004-07,3
2004-08,4
2004-09,0
2004-10,0
2004-11,6
2004-12,6
2005-01,9
2005-02,4
2005-03,4
2005-04,4
2005-05,4
2005-06,5
2005-07,4
2005-08,1
2005-09,5
2005-10,3
2005-11,5
2005-12,6
2006-01,5
2006-02,6
2006-03,5
2006-04,9
2006-05,8
2006-06,4
2006-07,3
2006-08,5
2006-09,2
2006-10,3
2006-11,4
2006-12,4
2007-01,4
2007-02,5
2007-03,5
2007-04,3
2007-05,4
2007-06,3
2007-07,4
2007-08,6
2007-09,4
2007-10,4
2007-11,3
2007-12,4
2008-01,4
2008-02,4
2008-03,4
2008-04,6
2008-05,3
2008-06,5
2008-07,5
2008-08,5
2008-09,5
2008-10,6
2008-11,6
2008-12,7
2009-01,7
2009-02,7
2009-03,7
2009-04,10
2009-05,8
2009-06,7
2009-07,8
2009-08,7
2009-09,8
2009-10,6
2009-11,7
2009-12,8
2010-01,9
2010-02,8
2010-03,11
2010-04,10
2010-05,13
2010-06,13
2010-07,14
2010-08,18
2010-09,16
2010-10,17
2010-11,18
2010-12,22
2011-01,24
2011-02,27
2011-03,26
2011-04,27
2011-05,27
2011-06,26
2011-07,27
2011-08,30
2011-09,55
2011-10,46
2011-11,54
2011-12,100
2012-01,71
2012-02,53
2012-03,43
2012-04,38
2012-05,33
2012-06,34
2012-07,25
2012-08,26
2012-09,23
2012-10,28
2012-11,29
2012-12,25
2013-01,27
2013-02,23
2013-03,21
2013-04,20
2013-05,22
2013-06,21
2013-07,19
2013-08,19
2013-09,17
2013-10,17
2013-11,18
2013-12,19
2014-01,24
2014-02,22
2014-03,21
2014-04,21
2014-05,21
2014-06,20
2014-07,19
2014-08,18
2014-09,19
2014-10,18
2014-11,20
2014-12,20
2015-01,27
2015-02,24
2015-03,22
2015-04,46
2015-05,32
2015-06,38
2015-07,31
2015-08,27
2015-09,26
2015-10,20
2015-11,19
2015-12,21
2016-01,21
2016-02,20
2016-03,18
2016-04,17
2016-05,18
2016-06,18
2016-07,15
2016-08,14
2016-09,15
2016-10,15
2016-11,15
2016-12,14
2017-01,13
2017-02,14
2017-03,13
2017-04,12
2017-05,12
2017-06,11
2017-07,12
2017-08,11
2017-09,11
2017-10,13
2017-11,13
2017-12,12
2018-01,12
2018-02,12
2018-03,11
2018-04,11
2018-05,11
2018-06,10
2018-07,11
2018-08,10
2018-09,10
2018-10,11
2018-11,10
2018-12,10
2019-01,10
2019-02,8
2019-03,10
2019-04,9
2019-05,10
2019-06,7
2019-07,8
2019-08,7
2019-09,8
2019-10,8
2019-11,8
2019-12,10
2020-01,9
2020-02,10
2020-03,9
2020-04,11
2020-05,10
2020-06,9
2020-07,8
2020-08,8
2020-09,8
2020-10,8
2020-11,8
2020-12,8
2021-01,9
2021-02,9
2021-03,8
2021-04,8
2021-05,9
2021-06,8
2021-07,8
2021-08,8
2021-09,8
2021-10,8
2021-11,8
2021-12,8
2022-01,7
2022-02,9
2022-03,9
2022-04,9
2022-05,9
2022-06,10
2022-07,9
2022-08,8
2022-09,8
2022-10,7
2022-11,7
2022-12,7
2023-01,7
2023-02,7
2023-03,7
2023-04,8
2023-05,9
2023-06,7
2023-07,7
2023-08,7
2023-09,8
2023-10,7
