Month,u wot m8: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,16
2004-08,38
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,33
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,5
2006-04,0
2006-05,7
2006-06,0
2006-07,0
2006-08,9
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,4
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,3
2008-08,3
2008-09,0
2008-10,2
2008-11,2
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,9
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,3
2009-10,0
2009-11,0
2009-12,9
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,3
2010-07,0
2010-08,0
2010-09,0
2010-10,4
2010-11,0
2010-12,0
2011-01,2
2011-02,0
2011-03,0
2011-04,1
2011-05,0
2011-06,0
2011-07,0
2011-08,2
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,1
2012-02,3
2012-03,5
2012-04,6
2012-05,15
2012-06,25
2012-07,30
2012-08,31
2012-09,25
2012-10,24
2012-11,23
2012-12,24
2013-01,41
2013-02,43
2013-03,40
2013-04,37
2013-05,34
2013-06,36
2013-07,37
2013-08,44
2013-09,40
2013-10,37
2013-11,55
2013-12,53
2014-01,53
2014-02,65
2014-03,56
2014-04,72
2014-05,76
2014-06,71
2014-07,96
2014-08,98
2014-09,94
2014-10,86
2014-11,100
2014-12,88
2015-01,87
2015-02,90
2015-03,75
2015-04,72
2015-05,73
2015-06,47
2015-07,42
2015-08,43
2015-09,46
2015-10,50
2015-11,49
2015-12,43
2016-01,35
2016-02,35
2016-03,26
2016-04,33
2016-05,26
2016-06,23
2016-07,19
2016-08,13
2016-09,14
2016-10,16
2016-11,19
2016-12,16
2017-01,13
2017-02,14
2017-03,16
2017-04,13
2017-05,11
2017-06,8
2017-07,7
2017-08,9
2017-09,7
2017-10,9
2017-11,7
2017-12,8
2018-01,13
2018-02,11
2018-03,10
2018-04,8
2018-05,7
2018-06,8
2018-07,2
2018-08,4
2018-09,5
2018-10,4
2018-11,5
2018-12,3
2019-01,6
2019-02,5
2019-03,4
2019-04,7
2019-05,3
2019-06,4
2019-07,4
2019-08,3
2019-09,4
2019-10,3
2019-11,3
2019-12,4
2020-01,4
2020-02,3
2020-03,3
2020-04,4
2020-05,1
2020-06,2
2020-07,2
2020-08,2
2020-09,3
2020-10,1
2020-11,2
2020-12,3
2021-01,3
2021-02,0
2021-03,2
2021-04,3
2021-05,1
2021-06,3
2021-07,3
2021-08,4
2021-09,4
2021-10,2
2021-11,1
2021-12,1
2022-01,2
2022-02,2
2022-03,1
2022-04,4
2022-05,1
2022-06,3
2022-07,2
2022-08,3
2022-09,2
2022-10,2
2022-11,1
2022-12,1
2023-01,1
2023-02,0
2023-03,1
2023-04,2
2023-05,2
2023-06,1
2023-07,2
2023-08,2
2023-09,2
2023-10,0
