Month,you are already dead: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,42
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,31
2004-12,0
2005-01,61
2005-02,0
2005-03,0
2005-04,35
2005-05,0
2005-06,59
2005-07,0
2005-08,27
2005-09,20
2005-10,0
2005-11,22
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,15
2006-08,23
2006-09,0
2006-10,0
2006-11,13
2006-12,0
2007-01,0
2007-02,11
2007-03,0
2007-04,0
2007-05,29
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,9
2008-01,19
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,15
2008-07,0
2008-08,0
2008-09,0
2008-10,24
2008-11,11
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,9
2009-05,0
2009-06,0
2009-07,0
2009-08,18
2009-09,0
2009-10,27
2009-11,9
2009-12,0
2010-01,0
2010-02,9
2010-03,7
2010-04,8
2010-05,12
2010-06,10
2010-07,10
2010-08,7
2010-09,10
2010-10,15
2010-11,7
2010-12,6
2011-01,24
2011-02,21
2011-03,5
2011-04,11
2011-05,5
2011-06,18
2011-07,21
2011-08,16
2011-09,10
2011-10,14
2011-11,3
2011-12,11
2012-01,12
2012-02,5
2012-03,11
2012-04,8
2012-05,10
2012-06,11
2012-07,8
2012-08,9
2012-09,3
2012-10,6
2012-11,12
2012-12,10
2013-01,12
2013-02,11
2013-03,14
2013-04,4
2013-05,23
2013-06,12
2013-07,12
2013-08,8
2013-09,5
2013-10,8
2013-11,5
2013-12,9
2014-01,10
2014-02,9
2014-03,9
2014-04,16
2014-05,9
2014-06,14
2014-07,12
2014-08,6
2014-09,4
2014-10,12
2014-11,15
2014-12,10
2015-01,13
2015-02,10
2015-03,14
2015-04,6
2015-05,10
2015-06,6
2015-07,8
2015-08,13
2015-09,16
2015-10,23
2015-11,5
2015-12,8
2016-01,9
2016-02,9
2016-03,10
2016-04,15
2016-05,13
2016-06,13
2016-07,8
2016-08,12
2016-09,7
2016-10,20
2016-11,9
2016-12,9
2017-01,13
2017-02,7
2017-03,14
2017-04,14
2017-05,13
2017-06,20
2017-07,24
2017-08,44
2017-09,90
2017-10,100
2017-11,78
2017-12,63
2018-01,48
2018-02,55
2018-03,63
2018-04,49
2018-05,44
2018-06,27
2018-07,30
2018-08,23
2018-09,36
2018-10,49
2018-11,40
2018-12,38
2019-01,43
2019-02,34
2019-03,33
2019-04,35
2019-05,48
2019-06,30
2019-07,32
2019-08,35
2019-09,25
2019-10,30
2019-11,26
2019-12,27
2020-01,25
2020-02,32
2020-03,31
2020-04,45
2020-05,34
2020-06,28
2020-07,31
2020-08,46
2020-09,47
2020-10,42
2020-11,38
2020-12,49
2021-01,29
2021-02,29
2021-03,30
2021-04,25
2021-05,19
2021-06,23
2021-07,21
2021-08,15
2021-09,23
2021-10,19
2021-11,24
2021-12,15
2022-01,27
2022-02,95
2022-03,41
2022-04,36
2022-05,28
2022-06,32
2022-07,21
2022-08,27
2022-09,17
2022-10,25
2022-11,26
2022-12,27
2023-01,25
2023-02,28
2023-03,28
2023-04,38
2023-05,24
2023-06,31
2023-07,16
2023-08,22
2023-09,25
2023-10,14
