date	small cylinder	isPartial
2019-01-06	46	False
2019-01-13	40	False
2019-01-20	42	False
2019-01-27	43	False
2019-02-03	39	False
2019-02-10	42	False
2019-02-17	39	False
2019-02-24	47	False
2019-03-03	43	False
2019-03-10	41	False
2019-03-17	42	False
2019-03-24	42	False
2019-03-31	41	False
2019-04-07	40	False
2019-04-14	41	False
2019-04-21	41	False
2019-04-28	43	False
2019-05-05	42	False
2019-05-12	38	False
2019-05-19	38	False
2019-05-26	43	False
2019-06-02	42	False
2019-06-09	42	False
2019-06-16	39	False
2019-06-23	39	False
2019-06-30	32	False
2019-07-07	37	False
2019-07-14	35	False
2019-07-21	39	False
2019-07-28	43	False
2019-08-04	34	False
2019-08-11	41	False
2019-08-18	52	False
2019-08-25	54	False
2019-09-01	41	False
2019-09-08	45	False
2019-09-15	52	False
2019-09-22	42	False
2019-09-29	46	False
2019-10-06	41	False
2019-10-13	44	False
2019-10-20	39	False
2019-10-27	44	False
2019-11-03	49	False
2019-11-10	42	False
2019-11-17	42	False
2019-11-24	41	False
2019-12-01	39	False
2019-12-08	39	False
2019-12-15	42	False
2019-12-22	37	False
2019-12-29	45	False
2020-01-05	42	False
2020-01-12	44	False
2020-01-19	43	False
2020-01-26	40	False
2020-02-02	43	False
2020-02-09	41	False
2020-02-16	46	False
2020-02-23	50	False
2020-03-01	47	False
2020-03-08	42	False
2020-03-15	34	False
2020-03-22	43	False
2020-03-29	44	False
2020-04-05	51	False
2020-04-12	46	False
2020-04-19	61	False
2020-04-26	63	False
2020-05-03	51	False
2020-05-10	47	False
2020-05-17	46	False
2020-05-24	52	False
2020-05-31	47	False
2020-06-07	56	False
2020-06-14	48	False
2020-06-21	54	False
2020-06-28	56	False
2020-07-05	49	False
2020-07-12	53	False
2020-07-19	58	False
2020-07-26	54	False
2020-08-02	51	False
2020-08-09	50	False
2020-08-16	53	False
2020-08-23	60	False
2020-08-30	60	False
2020-09-06	57	False
2020-09-13	63	False
2020-09-20	65	False
2020-09-27	57	False
2020-10-04	60	False
2020-10-11	56	False
2020-10-18	56	False
2020-10-25	55	False
2020-11-01	55	False
2020-11-08	58	False
2020-11-15	60	False
2020-11-22	49	False
2020-11-29	58	False
2020-12-06	58	False
2020-12-13	63	False
2020-12-20	51	False
2020-12-27	66	False
2021-01-03	50	False
2021-01-10	51	False
2021-01-17	51	False
2021-01-24	58	False
2021-01-31	59	False
2021-02-07	59	False
2021-02-14	52	False
2021-02-21	54	False
2021-02-28	59	False
2021-03-07	64	False
2021-03-14	53	False
2021-03-21	58	False
2021-03-28	58	False
2021-04-04	56	False
2021-04-11	59	False
2021-04-18	90	False
2021-04-25	83	False
2021-05-02	75	False
2021-05-09	72	False
2021-05-16	60	False
2021-05-23	64	False
2021-05-30	48	False
2021-06-06	59	False
2021-06-13	56	False
2021-06-20	57	False
2021-06-27	52	False
2021-07-04	55	False
2021-07-11	58	False
2021-07-18	53	False
2021-07-25	53	False
2021-08-01	55	False
2021-08-08	52	False
2021-08-15	50	False
2021-08-22	58	False
2021-08-29	55	False
2021-09-05	51	False
2021-09-12	50	False
2021-09-19	57	False
2021-09-26	48	False
2021-10-03	58	False
2021-10-10	44	False
2021-10-17	54	False
2021-10-24	57	False
2021-10-31	47	False
2021-11-07	55	False
2021-11-14	52	False
2021-11-21	60	False
2021-11-28	54	False
2021-12-05	56	False
2021-12-12	46	False
2021-12-19	50	False
2021-12-26	40	False
2022-01-02	55	False
2022-01-09	63	False
2022-01-16	66	False
2022-01-23	74	False
2022-01-30	71	False
2022-02-06	72	False
2022-02-13	73	False
2022-02-20	72	False
2022-02-27	71	False
2022-03-06	79	False
2022-03-13	79	False
2022-03-20	78	False
2022-03-27	78	False
2022-04-03	78	False
2022-04-10	76	False
2022-04-17	76	False
2022-04-24	75	False
2022-05-01	100	False
2022-05-08	70	False
2022-05-15	61	False
2022-05-22	67	False
2022-05-29	62	False
2022-06-05	59	False
2022-06-12	64	False
2022-06-19	54	False
2022-06-26	58	False
2022-07-03	66	False
2022-07-10	57	False
2022-07-17	49	False
2022-07-24	61	False
2022-07-31	48	False
2022-08-07	55	False
2022-08-14	54	False
2022-08-21	59	False
2022-08-28	66	False
2022-09-04	57	False
2022-09-11	58	False
2022-09-18	70	False
2022-09-25	62	False
2022-10-02	55	False
2022-10-09	65	False
2022-10-16	60	False
2022-10-23	61	False
2022-10-30	66	False
2022-11-06	68	False
2022-11-13	56	False
2022-11-20	54	False
2022-11-27	66	False
2022-12-04	64	False
2022-12-11	74	False
2022-12-18	62	False
2022-12-25	56	False
2023-01-01	62	False
2023-01-08	60	False
2023-01-15	67	False
2023-01-22	73	False
2023-01-29	66	False
2023-02-05	66	False
2023-02-12	65	False
2023-02-19	67	False
2023-02-26	69	False
2023-03-05	68	False
2023-03-12	57	False
2023-03-19	65	False
2023-03-26	61	False
2023-04-02	61	False
2023-04-09	66	False
2023-04-16	72	False
2023-04-23	70	False
2023-04-30	72	False
2023-05-07	65	False
2023-05-14	62	False
2023-05-21	68	False
2023-05-28	56	False
2023-06-04	61	False
2023-06-11	60	False
2023-06-18	67	False
2023-06-25	55	False
2023-07-02	53	False
2023-07-09	57	False
2023-07-16	49	False
2023-07-23	63	False
2023-07-30	51	False
2023-08-06	57	False
2023-08-13	51	False
2023-08-20	56	False
2023-08-27	60	False
2023-09-03	68	False
2023-09-10	66	False
2023-09-17	60	False
2023-09-24	61	False
2023-10-01	61	False
2023-10-08	59	False
2023-10-15	65	False
2023-10-22	59	False
2023-10-29	62	False
