date	fuck around and find out	isPartial
2018-01-01	1	False
2018-02-01	2	False
2018-03-01	3	False
2018-04-01	1	False
2018-05-01	2	False
2018-06-01	3	False
2018-07-01	4	False
2018-08-01	3	False
2018-09-01	2	False
2018-10-01	2	False
2018-11-01	1	False
2018-12-01	2	False
2019-01-01	2	False
2019-02-01	1	False
2019-03-01	2	False
2019-04-01	2	False
2019-05-01	2	False
2019-06-01	2	False
2019-07-01	2	False
2019-08-01	3	False
2019-09-01	3	False
2019-10-01	3	False
2019-11-01	3	False
2019-12-01	3	False
2020-01-01	4	False
2020-02-01	15	False
2020-03-01	18	False
2020-04-01	8	False
2020-05-01	9	False
2020-06-01	37	False
2020-07-01	33	False
2020-08-01	33	False
2020-09-01	25	False
2020-10-01	22	False
2020-11-01	39	False
2020-12-01	21	False
2021-01-01	27	False
2021-02-01	18	False
2021-03-01	19	False
2021-04-01	17	False
2021-05-01	17	False
2021-06-01	16	False
2021-07-01	18	False
2021-08-01	25	False
2021-09-01	26	False
2021-10-01	19	False
2021-11-01	35	False
2021-12-01	24	False
2022-01-01	19	False
2022-02-01	22	False
2022-03-01	24	False
2022-04-01	21	False
2022-05-01	25	False
2022-06-01	27	False
2022-07-01	36	False
2022-08-01	44	False
2022-09-01	38	False
2022-10-01	100	False
2022-11-01	79	False
2022-12-01	84	False
2023-01-01	87	False
2023-02-01	84	False
2023-03-01	78	False
2023-04-01	71	False
2023-05-01	58	False
2023-06-01	54	False
2023-07-01	53	False
2023-08-01	68	False
2023-09-01	54	False
2023-10-01	63	False
2023-11-01	59	True
