date	weed cat	isPartial
2019-01-06	21	False
2019-01-13	19	False
2019-01-20	18	False
2019-01-27	22	False
2019-02-03	23	False
2019-02-10	18	False
2019-02-17	25	False
2019-02-24	20	False
2019-03-03	24	False
2019-03-10	23	False
2019-03-17	25	False
2019-03-24	20	False
2019-03-31	22	False
2019-04-07	24	False
2019-04-14	20	False
2019-04-21	25	False
2019-04-28	29	False
2019-05-05	24	False
2019-05-12	31	False
2019-05-19	24	False
2019-05-26	24	False
2019-06-02	25	False
2019-06-09	21	False
2019-06-16	24	False
2019-06-23	24	False
2019-06-30	24	False
2019-07-07	24	False
2019-07-14	24	False
2019-07-21	22	False
2019-07-28	26	False
2019-08-04	23	False
2019-08-11	29	False
2019-08-18	24	False
2019-08-25	24	False
2019-09-01	27	False
2019-09-08	19	False
2019-09-15	21	False
2019-09-22	20	False
2019-09-29	26	False
2019-10-06	18	False
2019-10-13	32	False
2019-10-20	29	False
2019-10-27	25	False
2019-11-03	24	False
2019-11-10	22	False
2019-11-17	29	False
2019-11-24	25	False
2019-12-01	24	False
2019-12-08	26	False
2019-12-15	28	False
2019-12-22	24	False
2019-12-29	29	False
2020-01-05	31	False
2020-01-12	27	False
2020-01-19	27	False
2020-01-26	26	False
2020-02-02	23	False
2020-02-09	24	False
2020-02-16	24	False
2020-02-23	26	False
2020-03-01	28	False
2020-03-08	30	False
2020-03-15	19	False
2020-03-22	24	False
2020-03-29	38	False
2020-04-05	33	False
2020-04-12	34	False
2020-04-19	40	False
2020-04-26	38	False
2020-05-03	37	False
2020-05-10	39	False
2020-05-17	29	False
2020-05-24	43	False
2020-05-31	39	False
2020-06-07	33	False
2020-06-14	34	False
2020-06-21	31	False
2020-06-28	35	False
2020-07-05	37	False
2020-07-12	30	False
2020-07-19	27	False
2020-07-26	26	False
2020-08-02	31	False
2020-08-09	35	False
2020-08-16	28	False
2020-08-23	26	False
2020-08-30	23	False
2020-09-06	28	False
2020-09-13	35	False
2020-09-20	23	False
2020-09-27	23	False
2020-10-04	28	False
2020-10-11	20	False
2020-10-18	27	False
2020-10-25	25	False
2020-11-01	20	False
2020-11-08	28	False
2020-11-15	23	False
2020-11-22	32	False
2020-11-29	26	False
2020-12-06	26	False
2020-12-13	22	False
2020-12-20	30	False
2020-12-27	30	False
2021-01-03	23	False
2021-01-10	28	False
2021-01-17	25	False
2021-01-24	20	False
2021-01-31	24	False
2021-02-07	26	False
2021-02-14	27	False
2021-02-21	27	False
2021-02-28	27	False
2021-03-07	24	False
2021-03-14	23	False
2021-03-21	24	False
2021-03-28	28	False
2021-04-04	30	False
2021-04-11	26	False
2021-04-18	36	False
2021-04-25	29	False
2021-05-02	0	False
2021-05-09	26	False
2021-05-16	30	False
2021-05-23	0	False
2021-05-30	30	False
2021-06-06	37	False
2021-06-13	0	False
2021-06-20	31	False
2021-06-27	28	False
2021-07-04	28	False
2021-07-11	30	False
2021-07-18	0	False
2021-07-25	0	False
2021-08-01	31	False
2021-08-08	22	False
2021-08-15	24	False
2021-08-22	30	False
2021-08-29	0	False
2021-09-05	0	False
2021-09-12	0	False
2021-09-19	33	False
2021-09-26	0	False
2021-10-03	0	False
2021-10-10	24	False
2021-10-17	0	False
2021-10-24	24	False
2021-10-31	0	False
2021-11-07	23	False
2021-11-14	24	False
2021-11-21	24	False
2021-11-28	24	False
2021-12-05	32	False
2021-12-12	0	False
2021-12-19	0	False
2021-12-26	32	False
2022-01-02	29	False
2022-01-09	27	False
2022-01-16	30	False
2022-01-23	21	False
2022-01-30	18	False
2022-02-06	26	False
2022-02-13	23	False
2022-02-20	25	False
2022-02-27	100	False
2022-03-06	65	False
2022-03-13	55	False
2022-03-20	43	False
2022-03-27	34	False
2022-04-03	0	False
2022-04-10	43	False
2022-04-17	45	False
2022-04-24	0	False
2022-05-01	0	False
2022-05-08	34	False
2022-05-15	0	False
2022-05-22	32	False
2022-05-29	0	False
2022-06-05	0	False
2022-06-12	43	False
2022-06-19	0	False
2022-06-26	34	False
2022-07-03	0	False
2022-07-10	32	False
2022-07-17	0	False
2022-07-24	32	False
2022-07-31	0	False
2022-08-07	0	False
2022-08-14	40	False
2022-08-21	30	False
2022-08-28	27	False
2022-09-04	0	False
2022-09-11	27	False
2022-09-18	27	False
2022-09-25	26	False
2022-10-02	30	False
2022-10-09	0	False
2022-10-16	33	False
2022-10-23	36	False
2022-10-30	23	False
2022-11-06	0	False
2022-11-13	46	False
2022-11-20	0	False
2022-11-27	35	False
2022-12-04	32	False
2022-12-11	31	False
2022-12-18	0	False
2022-12-25	31	False
2023-01-01	32	False
2023-01-08	35	False
2023-01-15	29	False
2023-01-22	0	False
2023-01-29	33	False
2023-02-05	30	False
2023-02-12	0	False
2023-02-19	29	False
2023-02-26	0	False
2023-03-05	0	False
2023-03-12	0	False
2023-03-19	33	False
2023-03-26	0	False
2023-04-02	27	False
2023-04-09	0	False
2023-04-16	30	False
2023-04-23	0	False
2023-04-30	0	False
2023-05-07	36	False
2023-05-14	0	False
2023-05-21	32	False
2023-05-28	0	False
2023-06-04	0	False
2023-06-11	34	False
2023-06-18	0	False
2023-06-25	35	False
2023-07-02	0	False
2023-07-09	35	False
2023-07-16	0	False
2023-07-23	0	False
2023-07-30	35	False
2023-08-06	31	False
2023-08-13	31	False
2023-08-20	27	False
2023-08-27	34	False
2023-09-03	33	False
2023-09-10	30	False
2023-09-17	30	False
2023-09-24	33	False
2023-10-01	29	False
2023-10-08	0	False
2023-10-15	0	False
2023-10-22	30	False
2023-10-29	0	False
